epidemic_name,population_name,standard_name,location_code,enabled,notes
"('St. Martin',)",Saint Martin,Saint Martin,MAF,true,manual
Afghanistan,Afghanistan,Afghanistan,AFG,true,exact
Albania,Albania,Albania,ALB,true,exact
Algeria,Algeria,Algeria,DZA,true,exact
Andorra,Andorra,Andorra,AND,true,exact
Angola,Angola,Angola,AGO,true,exact
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,ATG,true,exact
Argentina,Argentina,Argentina,ARG,true,exact
Armenia,Armenia,Armenia,ARM,true,exact
Aruba,Aruba,Aruba,ABW,true,exact
Australia,Australia,Australia,AUS,true,exact
Austria,Austria,Austria,AUT,true,exact
Azerbaijan,Azerbaijan,Azerbaijan,AZE,true,exact
Bahamas,Bahamas,Bahamas,BHS,true,exact
"Bahamas, The",Bahamas,Bahamas,BHS,true,manual
Bahrain,Bahrain,Bahrain,BHR,true,exact
Bangladesh,Bangladesh,Bangladesh,BGD,true,exact
Barbados,Barbados,Barbados,BRB,true,exact
Belarus,Belarus,Belarus,BLR,true,exact
Belgium,Belgium,Belgium,BEL,true,exact
Belize,Belize,Belize,BLZ,true,exact
Benin,Benin,Benin,BEN,true,exact
Bhutan,Bhutan,Bhutan,BTN,true,exact
Bolivia,Bolivia,Bolivia,BOL,true,exact
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,true,exact
Botswana,Botswana,Botswana,BWA,true,exact
Brazil,Brazil,Brazil,BRA,true,exact
Brunei,Brunei,Brunei,BRN,true,exact
Bulgaria,Bulgaria,Bulgaria,BGR,true,exact
Burkina Faso,Burkina Faso,Burkina Faso,BFA,true,exact
Burma,Myanmar,Myanmar,MMR,true,manual
Burundi,Burundi,Burundi,BDI,true,exact
Cabo Verde,Cape Verde,Cape Verde,CPV,true,manual
Cambodia,Cambodia,Cambodia,KHM,true,exact
Cameroon,Cameroon,Cameroon,CMR,true,exact
Canada,Canada,Canada,CAN,true,exact
Cape Verde,Cape Verde,Cape Verde,CPV,true,exact
Cayman Islands,Cayman Islands,Cayman Islands,CYM,true,exact
Central African Republic,Central African Republic,Central African Republic,CAF,true,exact
Chad,Chad,Chad,TCD,true,exact
Channel Islands,,Channel Islands,,false,unmapped; combined crown-dependency row has no single CCA3 in population table
Chile,Chile,Chile,CHL,true,exact
China,China,China,CHN,true,exact
Colombia,Colombia,Colombia,COL,true,exact
Comoros,Comoros,Comoros,COM,true,exact
Congo (Brazzaville),Republic of the Congo,Republic of the Congo,COG,true,manual
Congo (Kinshasa),DR Congo,DR Congo,COD,true,manual
Costa Rica,Costa Rica,Costa Rica,CRI,true,exact
Croatia,Croatia,Croatia,HRV,true,exact
Cuba,Cuba,Cuba,CUB,true,exact
Curacao,Curacao,Curacao,CUW,true,exact
Cyprus,Cyprus,Cyprus,CYP,true,exact
Czech Republic,Czech Republic,Czech Republic,CZE,true,exact
Denmark,Denmark,Denmark,DNK,true,exact
Diamond Princess,,Diamond Princess,,false,disabled; not a country-level population entity
Djibouti,Djibouti,Djibouti,DJI,true,exact
