date,location,location_code,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,surface_pressure_mean,source,collected_at
2020-01-01,Beijing,CHN,39.9042,116.4074,11.02,17.67,3.84,5.99,52.13,10.35,1004.54,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-02,Beijing,CHN,39.9042,116.4074,11.66,17.73,5.96,0.19,62.61,17.64,1006.83,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-03,Beijing,CHN,39.9042,116.4074,12.21,18.47,5.22,0.96,61.92,18.23,1009.63,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-04,Beijing,CHN,39.9042,116.4074,12.01,18.8,5.08,4.09,66.74,15.48,1008.42,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-05,Beijing,CHN,39.9042,116.4074,12.8,19.15,5.69,6.57,65.39,20.54,1001.13,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-06,Beijing,CHN,39.9042,116.4074,12.11,19.57,5.58,4.32,56.25,18.88,1003.6,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-07,Beijing,CHN,39.9042,116.4074,14.37,20.73,8.58,5.36,51.78,14.87,1004.52,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-08,Beijing,CHN,39.9042,116.4074,12.82,20.24,5.36,5.17,66.39,13.1,1002.58,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-09,Beijing,CHN,39.9042,116.4074,16.1,22.01,8.94,0.79,60.56,11.06,1007.84,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-10,Beijing,CHN,39.9042,116.4074,14.85,21.07,8.95,0,69.84,19.02,1000.33,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-11,Beijing,CHN,39.9042,116.4074,15.18,21.6,8.06,0,54.46,18.37,1009.24,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-12,Beijing,CHN,39.9042,116.4074,15.97,22.32,9.02,2.57,63.88,18.24,1005.91,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-13,Beijing,CHN,39.9042,116.4074,16.42,22.1,10.02,4.49,57.2,23.41,1010.86,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-14,Beijing,CHN,39.9042,116.4074,15.03,21.62,8.99,2.12,57.22,16.88,1007.43,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-15,Beijing,CHN,39.9042,116.4074,17.68,25.06,11.09,0,59.85,11.89,1009.75,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-16,Beijing,CHN,39.9042,116.4074,16.23,22.05,10.46,1.18,53.18,14.95,1009.83,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-17,Beijing,CHN,39.9042,116.4074,15.15,21.43,9.5,5.55,59.04,21.83,1001.42,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-18,Beijing,CHN,39.9042,116.4074,15.06,21.93,8.66,1.1,70.16,20.49,1007.35,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-19,Beijing,CHN,39.9042,116.4074,15.14,21.56,9.17,4.67,60.4,20.7,1007.93,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-20,Beijing,CHN,39.9042,116.4074,15.52,22.88,9.92,3.98,65.84,18.68,1010.65,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-21,Beijing,CHN,39.9042,116.4074,15.39,22.68,9.62,6.49,59.39,16.74,1008.02,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-22,Beijing,CHN,39.9042,116.4074,16.75,22.62,10.9,6.07,57.58,18.66,1004.63,demo_generator,2026-07-10T04:13:34.892091+00:00
