date,location_key,location_code,location,total_cases,total_deaths,total_recovered,has_province_rows,has_national_row,aggregation_conflict,disease,new_cases_raw,new_deaths_raw,new_cases_clean,new_deaths,is_negative_case_correction,is_negative_death_correction,source,collected_at,year,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,population,density_per_km2,growth_rate,new_cases_smoothed,lag_1,lag_3,lag_7,lag_14,rolling_mean_3,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,growth_rate_1,growth_rate_7,cases_per_million,deaths_per_million,month,day_of_week,is_weekend,target_t_plus_7,quality_flag,data_mode,prediction_t_plus_7
2020-01-22,CHN,CHN,China,547.0,17.0,28.0,True,False,False,COVID-19,547.0,17.0,547.0,17.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,-1.2,5.0,-5.0,0.0,46.0,10.8,1424929781,146.8933,1.0,547.0,,,,,547.0,547.0,547.0,,,,,0.3838785653115632,0.011930412450267961,1,3,0,789.0,ok,real_local,749.3635503092136
2020-01-23,CHN,CHN,China,638.0,17.0,30.0,True,False,False,COVID-19,91.0,0.0,91.0,0.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,-0.7,7.0,-5.5,0.0,46.0,19.2,1424929781,146.8933,1.0,319.0,547.0,,,,319.0,319.0,319.0,228.0,228.0,-0.41681901279707495,,0.06386279605731673,0.0,1,4,0,1069.4285714285713,ok,real_local,121.69975858910358
2020-01-24,CHN,CHN,China,916.0,26.0,36.0,True,False,False,COVID-19,278.0,9.0,278.0,9.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,-1.8,4.1,-5.8,0.0,64.0,14.4,1424929781,146.8933,1.0,305.3333333333333,319.0,,,,305.3333333333333,305.3333333333333,305.3333333333333,187.16184321478445,187.16184321478445,-0.04284221525600842,,0.19509733301026433,0.0063161007089653914,1,5,0,1266.7142857142858,ok,real_local,180.08958866434634
2020-01-25,CHN,CHN,China,1399.0,42.0,39.0,True,False,False,COVID-19,483.0,16.0,483.0,16.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,-2.2,4.6,-6.2,0.0,68.0,11.4,1424929781,146.8933,1.0,349.75,305.3333333333333,547.0,,,284.0,349.75,349.75,179.41763430610715,179.41763430610715,0.14546943231441056,,0.33896407138114265,0.011228623482605142,1,6,1,1496.0,ok,real_local,60.353668554256416
2020-01-26,CHN,CHN,China,2062.0,56.0,49.0,True,False,False,COVID-19,663.0,14.0,663.0,14.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,-2.0,3.6,-6.2,0.0,63.0,10.3,1424929781,146.8933,1.0,412.4,349.75,319.0,,,474.6666666666667,412.4,412.4,203.59921414386648,203.59921414386648,0.17912794853466754,,0.46528608556045054,0.009825045547279499,1,7,1,2077.8571428571427,ok,real_local,543.8728602993249
2020-01-27,CHN,CHN,China,2863.0,82.0,58.0,True,False,False,COVID-19,801.0,26.0,801.0,26.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,-0.1,4.4,-3.4,0.0,55.0,7.3,1424929781,146.8933,1.0,477.1666666666667,412.4,305.3333333333333,,,649.0,477.1666666666667,477.1666666666667,235.6214595961544,235.6214595961544,0.15704817329453616,,0.5621329630979199,0.018246513159233355,1,1,0,2404.285714285714,ok,real_local,650.5904237056246
2020-01-28,CHN,CHN,China,5494.0,131.0,101.0,True,False,False,COVID-19,2631.0,49.0,2631.0,49.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,0.4,5.8,-3.0,0.0,54.0,8.1,1424929781,146.8933,1.0,784.8571428571429,477.1666666666667,349.75,,,1365.0,784.8571428571429,784.8571428571429,784.6190028235594,784.6190028235594,0.6448281023901002,,1.8464067739208827,0.03438765941547824,1,2,0,2598.0,ok,real_local,2808.388011955192
2020-01-29,CHN,CHN,China,6070.0,133.0,120.0,True,False,False,COVID-19,576.0,2.0,576.0,2.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,0.9,7.3,-2.5,0.0,54.0,10.5,1424929781,146.8933,1.0,789.0,784.8571428571429,412.4,547.0,,1336.0,789.0,758.75,783.4278159837975,737.1870098557082,0.00527848562067706,0.4424131627056673,0.40423044537378505,0.0014035779353256427,1,3,0,3048.4285714285716,ok,real_local,2773.990103005758
2020-01-30,CHN,CHN,China,8124.0,171.0,135.0,True,False,False,COVID-19,2054.0,38.0,2054.0,38.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,-0.6,5.4,-5.1,0.0,49.0,15.7,1424929781,146.8933,1.0,1069.4285714285713,789.0,477.1666666666667,319.0,,1753.6666666666667,1069.4285714285713,902.6666666666666,833.1398197083569,805.4551508308826,0.3554227774760093,2.35244066278549,1.4414745395794348,0.02666798077118721,1,4,0,3204.1428571428573,ok,real_local,3319.5950808486377
2020-01-31,CHN,CHN,China,9783.0,213.0,214.0,True,False,False,COVID-19,1659.0,42.0,1659.0,42.0,False,False,Kaggle COVID-19 daily report,2026-07-10T06:18:57.676489+00:00,2020,Beijing,39.9042,116.4074,0.1,9.2,-5.6,0.0,47.0,15.2,1424929781,146.8933,1.0,1266.7142857142858,1069.4285714285713,784.8571428571429,305.3333333333333,,1429.6666666666667,1266.7142857142858,978.3,784.459543577745,797.0983690862753,0.184477691691157,3.148627573300063,1.1642678973526206,0.02947513664183849,1,5,0,3470.285714285714,ok,real_local,3441.122307124792
