date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2025-01-01,Australia,AUS,Canberra,-35.2809,149.1300,22.7,29.9,17.3,0.0,56,19.1,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-02,Australia,AUS,Canberra,-35.2809,149.1300,18.4,24.3,14.4,0.0,63,20.3,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-03,Australia,AUS,Canberra,-35.2809,149.1300,20.5,28.4,13.0,0.0,58,18.5,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-04,Australia,AUS,Canberra,-35.2809,149.1300,23.1,31.9,14.5,0.7,57,17.5,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-05,Australia,AUS,Canberra,-35.2809,149.1300,25.3,33.2,18.4,0.1,46,18.6,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-06,Australia,AUS,Canberra,-35.2809,149.1300,23.4,31.3,17.7,5.9,61,19.1,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-07,Australia,AUS,Canberra,-35.2809,149.1300,17.7,21.8,13.9,0.5,72,18.7,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-08,Australia,AUS,Canberra,-35.2809,149.1300,16.2,22.6,11.8,0.0,62,18.3,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-09,Australia,AUS,Canberra,-35.2809,149.1300,18.7,26.9,11.9,0.0,65,16.7,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-10,Australia,AUS,Canberra,-35.2809,149.1300,19.2,24.0,16.3,7.4,77,14.7,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-11,Australia,AUS,Canberra,-35.2809,149.1300,19.7,24.9,17.2,3.9,75,18.5,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-12,Australia,AUS,Canberra,-35.2809,149.1300,20.3,27.5,16.3,1.0,75,14.3,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-13,Australia,AUS,Canberra,-35.2809,149.1300,21.8,29.2,14.6,3.9,67,15.2,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-14,Australia,AUS,Canberra,-35.2809,149.1300,21.8,28.4,16.8,3.0,74,15.9,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-15,Australia,AUS,Canberra,-35.2809,149.1300,21.2,33.1,17.3,18.5,82,21.0,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
2025-01-16,Australia,AUS,Canberra,-35.2809,149.1300,16.9,22.4,13.0,0.5,58,21.1,Open-Meteo archive API,Australia/Sydney,2026-07-11T03:36:02.959959+00:00
