date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2025-01-01,Brazil,BRA,Brasilia,-15.7939,-47.8828,21.6,26.2,19.0,9.1,86,10.3,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-02,Brazil,BRA,Brasilia,-15.7939,-47.8828,21.8,26.2,18.6,11.7,81,13.5,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-03,Brazil,BRA,Brasilia,-15.7939,-47.8828,22.5,26.6,17.9,0.0,76,12.5,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-04,Brazil,BRA,Brasilia,-15.7939,-47.8828,23.1,28.3,19.2,0.7,76,11.9,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-05,Brazil,BRA,Brasilia,-15.7939,-47.8828,22.8,28.0,19.4,3.4,78,13.9,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-06,Brazil,BRA,Brasilia,-15.7939,-47.8828,22.1,25.0,19.8,0.8,82,14.1,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-07,Brazil,BRA,Brasilia,-15.7939,-47.8828,22.6,26.6,19.0,2.7,79,15.0,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-08,Brazil,BRA,Brasilia,-15.7939,-47.8828,21.7,25.0,19.9,23.1,87,13.4,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-09,Brazil,BRA,Brasilia,-15.7939,-47.8828,20.4,22.8,18.9,11.1,90,21.4,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-10,Brazil,BRA,Brasilia,-15.7939,-47.8828,21.6,25.9,19.5,4.7,84,13.0,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-11,Brazil,BRA,Brasilia,-15.7939,-47.8828,22.6,27.6,19.1,1.6,80,12.2,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-12,Brazil,BRA,Brasilia,-15.7939,-47.8828,22.2,26.7,18.9,9.3,84,9.2,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-13,Brazil,BRA,Brasilia,-15.7939,-47.8828,20.9,23.2,19.5,6.5,89,21.2,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-14,Brazil,BRA,Brasilia,-15.7939,-47.8828,20.3,23.2,18.9,21.8,91,14.0,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-15,Brazil,BRA,Brasilia,-15.7939,-47.8828,20.9,23.3,19.4,4.6,87,19.0,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
2025-01-16,Brazil,BRA,Brasilia,-15.7939,-47.8828,20.4,22.6,19.2,11.5,90,23.0,Open-Meteo archive API,America/Sao_Paulo,2026-07-11T03:35:39.644005+00:00
