date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2020-01-22,Canada,CAN,Ottawa,45.4215,-75.6972,-3.5,1.9,-6.7,0.0,78,19.0,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-01-23,Canada,CAN,Ottawa,45.4215,-75.6972,-2.4,2.1,-5.7,0.0,78,14.5,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-01-24,Canada,CAN,Ottawa,45.4215,-75.6972,-1.6,2.3,-4.5,0.0,80,15.3,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-01-25,Canada,CAN,Ottawa,45.4215,-75.6972,-0.8,1.5,-2.7,14.5,87,19.8,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-01-26,Canada,CAN,Ottawa,45.4215,-75.6972,0.7,1.6,0.0,11.7,94,14.8,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-01-27,Canada,CAN,Ottawa,45.4215,-75.6972,0.7,2.7,-1.2,0.3,85,12.0,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-01-28,Canada,CAN,Ottawa,45.4215,-75.6972,-4.1,-1.3,-9.3,0.0,79,12.0,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-01-29,Canada,CAN,Ottawa,45.4215,-75.6972,-10.7,-6.3,-14.7,0.0,74,12.1,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-01-30,Canada,CAN,Ottawa,45.4215,-75.6972,-13.5,-7.7,-19.4,0.0,70,10.9,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-01-31,Canada,CAN,Ottawa,45.4215,-75.6972,-10.3,-4.6,-18.1,0.3,69,7.5,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-01,Canada,CAN,Ottawa,45.4215,-75.6972,-7.1,-1.4,-10.6,0.0,81,10.2,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-02,Canada,CAN,Ottawa,45.4215,-75.6972,-5.3,-0.9,-8.9,1.6,88,7.0,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-03,Canada,CAN,Ottawa,45.4215,-75.6972,-1.5,3.1,-6.2,0.0,85,18.5,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-04,Canada,CAN,Ottawa,45.4215,-75.6972,-1.8,2.6,-5.9,0.0,80,13.2,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-05,Canada,CAN,Ottawa,45.4215,-75.6972,-8.4,-2.2,-12.9,0.0,65,15.3,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-06,Canada,CAN,Ottawa,45.4215,-75.6972,-8.4,-5.4,-12.2,4.8,79,13.0,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-07,Canada,CAN,Ottawa,45.4215,-75.6972,-7.2,-5.4,-13.2,12.1,75,21.9,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-08,Canada,CAN,Ottawa,45.4215,-75.6972,-17.3,-14.3,-20.2,0.0,65,14.8,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-09,Canada,CAN,Ottawa,45.4215,-75.6972,-16.4,-9.1,-24.4,0.3,70,10.7,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-10,Canada,CAN,Ottawa,45.4215,-75.6972,-3.7,2.2,-9.2,6.9,82,10.6,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-11,Canada,CAN,Ottawa,45.4215,-75.6972,-3.6,1.0,-9.2,0.0,80,15.8,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-12,Canada,CAN,Ottawa,45.4215,-75.6972,-2.0,1.6,-5.8,0.0,73,19.1,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-13,Canada,CAN,Ottawa,45.4215,-75.6972,-6.6,-1.8,-16.7,2.7,75,16.8,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-14,Canada,CAN,Ottawa,45.4215,-75.6972,-20.3,-16.8,-24.8,0.0,61,13.4,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-15,Canada,CAN,Ottawa,45.4215,-75.6972,-12.3,-3.9,-22.3,0.0,72,20.1,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-16,Canada,CAN,Ottawa,45.4215,-75.6972,-0.1,2.8,-3.4,0.4,71,21.4,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-17,Canada,CAN,Ottawa,45.4215,-75.6972,-8.7,-2.8,-15.8,0.1,66,12.7,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-18,Canada,CAN,Ottawa,45.4215,-75.6972,-5.2,5.1,-14.3,4.9,74,26.8,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
2020-02-19,Canada,CAN,Ottawa,45.4215,-75.6972,-6.1,1.1,-14.5,2.1,65,23.9,Open-Meteo archive API,America/Toronto,2026-07-11T00:59:59.940660+00:00
