date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2024-01-17,China,CHN,Beijing,39.9042,116.4074,-1.1,1.7,-4.3,0.0,73,8.6,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-18,China,CHN,Beijing,39.9042,116.4074,-1.4,3.5,-5.0,0.0,56,9.8,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-19,China,CHN,Beijing,39.9042,116.4074,-2.2,-1.0,-3.1,0.0,36,10.2,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-20,China,CHN,Beijing,39.9042,116.4074,-3.2,-0.1,-5.5,0.0,33,28.2,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-21,China,CHN,Beijing,39.9042,116.4074,-7.8,-4.9,-10.2,0.0,21,28.5,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-22,China,CHN,Beijing,39.9042,116.4074,-7.9,-3.8,-11.0,0.0,23,24.3,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-23,China,CHN,Beijing,39.9042,116.4074,-6.4,0.2,-11.8,0.0,24,18.9,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-24,China,CHN,Beijing,39.9042,116.4074,-3.4,2.0,-6.7,0.0,27,18.4,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-25,China,CHN,Beijing,39.9042,116.4074,-1.2,5.0,-5.4,0.0,26,17.9,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-26,China,CHN,Beijing,39.9042,116.4074,-1.3,5.0,-4.3,0.0,26,16.7,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
2024-01-27,China,CHN,Beijing,39.9042,116.4074,-2.6,3.3,-5.3,0.0,32,17.2,Open-Meteo archive API,Asia/Shanghai,2026-07-11T03:33:57.532247+00:00
