date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2020-01-22,Germany,DEU,Berlin,52.5200,13.4050,3.2,5.8,0.3,0.2,90,20.8,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-01-23,Germany,DEU,Berlin,52.5200,13.4050,2.4,5.3,-1.0,0.0,90,11.9,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-01-24,Germany,DEU,Berlin,52.5200,13.4050,0.1,3.3,-2.4,0.0,91,14.7,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-01-25,Germany,DEU,Berlin,52.5200,13.4050,0.8,2.5,-0.2,0.0,91,13.6,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-01-26,Germany,DEU,Berlin,52.5200,13.4050,0.1,2.2,-1.3,0.1,90,10.2,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-01-27,Germany,DEU,Berlin,52.5200,13.4050,4.3,8.3,0.9,0.4,88,18.8,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-01-28,Germany,DEU,Berlin,52.5200,13.4050,5.5,8.5,2.9,7.1,85,29.0,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-01-29,Germany,DEU,Berlin,52.5200,13.4050,3.6,5.8,2.0,4.3,81,34.6,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-01-30,Germany,DEU,Berlin,52.5200,13.4050,4.9,7.6,2.4,5.7,85,27.1,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-01-31,Germany,DEU,Berlin,52.5200,13.4050,9.1,11.0,5.4,1.7,81,29.2,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-01,Germany,DEU,Berlin,52.5200,13.4050,10.5,11.5,8.7,6.4,87,29.0,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-02,Germany,DEU,Berlin,52.5200,13.4050,7.3,8.4,5.7,4.9,81,31.7,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-03,Germany,DEU,Berlin,52.5200,13.4050,7.1,9.8,5.6,4.4,91,24.7,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-04,Germany,DEU,Berlin,52.5200,13.4050,5.0,7.0,3.2,2.7,84,30.5,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-05,Germany,DEU,Berlin,52.5200,13.4050,2.6,4.8,0.6,0.9,80,33.2,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-06,Germany,DEU,Berlin,52.5200,13.4050,3.9,5.7,0.8,0.0,80,23.9,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-07,Germany,DEU,Berlin,52.5200,13.4050,5.5,7.1,4.5,0.0,86,15.5,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-08,Germany,DEU,Berlin,52.5200,13.4050,4.5,8.3,1.5,0.0,82,18.2,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-09,Germany,DEU,Berlin,52.5200,13.4050,8.1,11.9,4.3,2.0,69,40.1,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-10,Germany,DEU,Berlin,52.5200,13.4050,7.6,12.7,3.8,14.7,76,44.7,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-11,Germany,DEU,Berlin,52.5200,13.4050,4.4,6.4,2.8,3.1,70,45.4,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-12,Germany,DEU,Berlin,52.5200,13.4050,3.8,5.9,2.2,0.6,63,42.5,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-13,Germany,DEU,Berlin,52.5200,13.4050,3.5,5.9,0.7,1.5,75,25.6,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-14,Germany,DEU,Berlin,52.5200,13.4050,4.0,6.5,1.6,1.2,92,12.9,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-15,Germany,DEU,Berlin,52.5200,13.4050,5.2,9.1,2.0,0.0,85,21.2,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-16,Germany,DEU,Berlin,52.5200,13.4050,11.3,15.8,6.4,2.0,58,36.6,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-17,Germany,DEU,Berlin,52.5200,13.4050,9.9,15.9,6.6,0.1,60,36.2,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-18,Germany,DEU,Berlin,52.5200,13.4050,6.5,8.0,5.5,2.3,71,35.7,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-19,Germany,DEU,Berlin,52.5200,13.4050,4.9,6.8,3.1,4.3,80,25.9,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-20,Germany,DEU,Berlin,52.5200,13.4050,4.2,6.6,0.5,1.4,85,24.1,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-21,Germany,DEU,Berlin,52.5200,13.4050,5.9,7.7,3.7,5.2,73,32.2,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
2020-02-22,Germany,DEU,Berlin,52.5200,13.4050,7.9,11.4,5.1,2.9,66,38.9,Open-Meteo archive API,Europe/Berlin,2026-07-11T00:59:14.290461+00:00
