date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2020-01-22,Spain,ESP,Madrid,40.4168,-3.7038,5.9,10.5,3.7,1.7,79,20.1,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-01-23,Spain,ESP,Madrid,40.4168,-3.7038,5.2,10.9,1.1,0.0,82,13.2,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-01-24,Spain,ESP,Madrid,40.4168,-3.7038,6.1,9.5,3.8,4.4,88,10.8,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-01-25,Spain,ESP,Madrid,40.4168,-3.7038,6.7,9.3,4.3,11.6,91,12.0,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-01-26,Spain,ESP,Madrid,40.4168,-3.7038,6.3,11.2,2.9,0.8,84,14.2,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-01-27,Spain,ESP,Madrid,40.4168,-3.7038,5.8,9.0,2.2,0.2,89,21.9,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-01-28,Spain,ESP,Madrid,40.4168,-3.7038,10.0,12.8,8.1,0.3,90,29.3,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-01-29,Spain,ESP,Madrid,40.4168,-3.7038,10.5,13.2,8.7,0.1,89,18.5,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-01-30,Spain,ESP,Madrid,40.4168,-3.7038,9.6,12.3,8.0,0.3,86,20.0,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-01-31,Spain,ESP,Madrid,40.4168,-3.7038,10.9,14.9,8.9,1.2,89,17.6,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-01,Spain,ESP,Madrid,40.4168,-3.7038,12.8,16.7,10.3,1.1,88,18.1,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-02,Spain,ESP,Madrid,40.4168,-3.7038,10.5,13.6,9.1,0.0,94,10.3,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-03,Spain,ESP,Madrid,40.4168,-3.7038,10.4,17.4,6.8,0.0,87,8.2,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-04,Spain,ESP,Madrid,40.4168,-3.7038,9.8,17.7,3.7,0.0,84,18.3,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-05,Spain,ESP,Madrid,40.4168,-3.7038,7.8,13.3,3.3,0.0,65,15.3,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-06,Spain,ESP,Madrid,40.4168,-3.7038,6.2,10.8,2.9,0.0,85,10.4,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-07,Spain,ESP,Madrid,40.4168,-3.7038,7.5,14.3,2.9,0.0,82,11.8,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-08,Spain,ESP,Madrid,40.4168,-3.7038,7.2,11.2,4.5,1.1,92,12.7,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-09,Spain,ESP,Madrid,40.4168,-3.7038,7.4,11.9,3.9,0.2,91,11.6,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-10,Spain,ESP,Madrid,40.4168,-3.7038,9.6,16.6,6.0,0.0,88,10.6,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-11,Spain,ESP,Madrid,40.4168,-3.7038,9.1,14.9,5.3,0.0,89,8.3,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-12,Spain,ESP,Madrid,40.4168,-3.7038,9.7,12.4,6.8,0.0,89,7.6,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-13,Spain,ESP,Madrid,40.4168,-3.7038,10.8,14.7,8.2,0.0,84,13.7,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
2020-02-14,Spain,ESP,Madrid,40.4168,-3.7038,8.2,13.8,5.3,0.0,88,6.9,Open-Meteo archive API,Europe/Madrid,2026-07-11T00:59:24.558361+00:00
