date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2024-01-17,France,FRA,Paris,48.8566,2.3522,0.8,7.3,-2.0,27.4,95,16.5,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-18,France,FRA,Paris,48.8566,2.3522,-0.4,2.8,-3.9,6.2,87,21.2,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-19,France,FRA,Paris,48.8566,2.3522,-2.1,3.4,-5.0,0.0,86,12.2,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-20,France,FRA,Paris,48.8566,2.3522,-3.0,1.3,-6.1,0.0,86,11.6,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-21,France,FRA,Paris,48.8566,2.3522,3.7,8.4,-2.2,0.1,76,30.4,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-22,France,FRA,Paris,48.8566,2.3522,10.0,12.1,7.7,3.6,81,41.3,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-23,France,FRA,Paris,48.8566,2.3522,8.8,13.0,5.8,0.5,86,27.0,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-24,France,FRA,Paris,48.8566,2.3522,12.3,13.3,10.2,0.5,81,28.0,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-25,France,FRA,Paris,48.8566,2.3522,10.7,13.0,8.3,1.5,90,16.3,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-26,France,FRA,Paris,48.8566,2.3522,9.2,11.9,1.6,1.9,84,23.7,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-27,France,FRA,Paris,48.8566,2.3522,2.2,7.4,-2.8,0.0,87,10.3,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-28,France,FRA,Paris,48.8566,2.3522,3.2,9.1,-1.0,0.0,88,12.5,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-29,France,FRA,Paris,48.8566,2.3522,7.6,12.7,3.4,0.0,87,13.5,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-30,France,FRA,Paris,48.8566,2.3522,9.2,11.0,6.2,0.0,87,12.6,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-01-31,France,FRA,Paris,48.8566,2.3522,6.6,11.1,2.4,0.0,85,14.1,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-01,France,FRA,Paris,48.8566,2.3522,9.2,11.4,4.6,1.3,90,17.6,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-02,France,FRA,Paris,48.8566,2.3522,5.9,8.9,2.6,0.0,94,15.2,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-03,France,FRA,Paris,48.8566,2.3522,9.5,11.0,8.6,0.0,86,18.5,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-04,France,FRA,Paris,48.8566,2.3522,9.8,12.1,8.7,0.0,81,20.5,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-05,France,FRA,Paris,48.8566,2.3522,8.2,9.6,5.8,0.0,81,18.2,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-06,France,FRA,Paris,48.8566,2.3522,9.8,12.5,7.6,0.0,79,29.9,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-07,France,FRA,Paris,48.8566,2.3522,11.2,12.4,10.4,12.1,88,28.6,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-08,France,FRA,Paris,48.8566,2.3522,12.0,13.8,11.0,6.3,88,30.6,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-09,France,FRA,Paris,48.8566,2.3522,11.4,14.2,8.7,5.5,80,28.3,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-10,France,FRA,Paris,48.8566,2.3522,8.0,9.9,5.5,8.0,93,23.4,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-11,France,FRA,Paris,48.8566,2.3522,8.2,10.7,6.2,1.1,85,28.4,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-12,France,FRA,Paris,48.8566,2.3522,6.0,10.5,3.4,0.5,88,13.9,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-13,France,FRA,Paris,48.8566,2.3522,6.1,11.0,1.5,1.2,85,22.4,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-14,France,FRA,Paris,48.8566,2.3522,11.4,14.7,8.9,2.6,89,22.7,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-15,France,FRA,Paris,48.8566,2.3522,12.3,17.1,8.5,4.9,81,14.5,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-16,France,FRA,Paris,48.8566,2.3522,11.9,13.9,6.1,3.6,85,24.3,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-17,France,FRA,Paris,48.8566,2.3522,9.6,13.8,5.3,0.0,75,9.4,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-18,France,FRA,Paris,48.8566,2.3522,8.9,11.6,6.4,7.9,86,20.8,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
2024-02-19,France,FRA,Paris,48.8566,2.3522,10.4,11.7,9.0,0.4,87,21.6,Open-Meteo archive API,Europe/Paris,2026-07-11T03:35:08.634188+00:00
