date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2024-01-17,United Kingdom,GBR,London,51.5072,-0.1276,0.2,2.4,-2.4,0.0,84,19.9,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-18,United Kingdom,GBR,London,51.5072,-0.1276,-2.3,2.5,-5.1,0.0,73,15.3,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-19,United Kingdom,GBR,London,51.5072,-0.1276,-0.8,4.8,-3.8,0.0,81,13.7,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-20,United Kingdom,GBR,London,51.5072,-0.1276,2.4,5.2,-1.0,0.0,75,26.9,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-21,United Kingdom,GBR,London,51.5072,-0.1276,8.9,11.8,4.2,1.3,78,49.0,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-22,United Kingdom,GBR,London,51.5072,-0.1276,9.5,12.4,6.9,6.0,78,50.1,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-23,United Kingdom,GBR,London,51.5072,-0.1276,8.7,12.9,4.1,2.9,87,37.4,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-24,United Kingdom,GBR,London,51.5072,-0.1276,9.7,13.0,6.7,0.1,79,36.1,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-25,United Kingdom,GBR,London,51.5072,-0.1276,8.9,11.8,3.6,0.1,93,27.1,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-26,United Kingdom,GBR,London,51.5072,-0.1276,8.0,12.1,2.6,1.6,77,33.2,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
2024-01-27,United Kingdom,GBR,London,51.5072,-0.1276,3.7,8.5,-0.4,0.0,86,18.7,Open-Meteo archive API,Europe/London,2026-07-11T03:34:59.813699+00:00
