date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2024-01-17,India,IND,New Delhi,28.6139,77.2090,9.9,17.8,4.0,0.0,84,10.7,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-18,India,IND,New Delhi,28.6139,77.2090,11.0,17.5,6.0,0.0,86,8.0,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-19,India,IND,New Delhi,28.6139,77.2090,10.2,16.8,6.3,0.0,89,9.2,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-20,India,IND,New Delhi,28.6139,77.2090,9.6,16.1,5.1,0.0,88,10.3,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-21,India,IND,New Delhi,28.6139,77.2090,9.0,16.1,5.2,0.0,89,14.1,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-22,India,IND,New Delhi,28.6139,77.2090,9.2,16.9,5.0,0.0,86,10.6,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-23,India,IND,New Delhi,28.6139,77.2090,10.4,17.3,4.9,0.0,88,8.9,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-24,India,IND,New Delhi,28.6139,77.2090,11.3,18.2,6.4,0.0,84,8.3,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-25,India,IND,New Delhi,28.6139,77.2090,10.2,17.5,5.6,0.0,88,10.4,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-26,India,IND,New Delhi,28.6139,77.2090,11.4,18.5,6.0,0.0,84,11.3,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-27,India,IND,New Delhi,28.6139,77.2090,12.5,20.6,6.9,0.0,77,16.8,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-28,India,IND,New Delhi,28.6139,77.2090,13.8,20.3,7.0,0.0,79,13.8,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
2024-01-29,India,IND,New Delhi,28.6139,77.2090,14.5,21.3,9.5,0.0,85,12.2,Open-Meteo archive API,Asia/Kolkata,2026-07-11T03:35:27.839177+00:00
