date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2021-01-01,Italy,ITA,Rome,41.9028,12.4964,8.3,10.1,4.7,2.5,81,23.4,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-02,Italy,ITA,Rome,41.9028,12.4964,9.7,11.0,8.2,22.9,86,30.6,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-03,Italy,ITA,Rome,41.9028,12.4964,8.0,10.2,6.9,4.7,85,21.6,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-04,Italy,ITA,Rome,41.9028,12.4964,7.3,10.7,4.4,3.3,84,17.2,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-05,Italy,ITA,Rome,41.9028,12.4964,7.6,10.0,6.1,20.1,87,24.2,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-06,Italy,ITA,Rome,41.9028,12.4964,7.6,11.1,4.4,3.4,77,14.5,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-07,Italy,ITA,Rome,41.9028,12.4964,5.4,8.6,1.8,2.4,85,8.9,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-08,Italy,ITA,Rome,41.9028,12.4964,6.0,8.9,3.1,0.0,87,9.7,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-09,Italy,ITA,Rome,41.9028,12.4964,5.6,7.1,2.5,8.8,89,15.7,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-10,Italy,ITA,Rome,41.9028,12.4964,6.8,9.2,4.9,9.5,90,17.4,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-11,Italy,ITA,Rome,41.9028,12.4964,4.6,7.6,2.4,0.0,80,17.4,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-12,Italy,ITA,Rome,41.9028,12.4964,4.7,10.4,1.2,0.0,83,9.0,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-13,Italy,ITA,Rome,41.9028,12.4964,4.9,11.3,0.3,0.0,78,15.5,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-14,Italy,ITA,Rome,41.9028,12.4964,8.3,14.3,2.4,0.0,81,16.3,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-15,Italy,ITA,Rome,41.9028,12.4964,6.8,10.7,3.9,2.2,80,12.6,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-16,Italy,ITA,Rome,41.9028,12.4964,4.1,10.0,0.4,0.0,64,19.2,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-17,Italy,ITA,Rome,41.9028,12.4964,1.7,5.7,-2.2,3.1,84,21.7,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
2021-01-18,Italy,ITA,Rome,41.9028,12.4964,3.7,10.3,-0.6,0.0,76,13.8,Open-Meteo archive API,Europe/Rome,2026-07-11T00:59:21.996359+00:00
