date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2021-01-01,Japan,JPN,Tokyo,35.6762,139.6503,2.0,9.6,-4.6,0.0,53,28.2,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
2021-01-02,Japan,JPN,Tokyo,35.6762,139.6503,2.4,8.7,-3.2,0.0,64,18.4,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
2021-01-03,Japan,JPN,Tokyo,35.6762,139.6503,2.4,7.2,-1.0,0.0,62,15.6,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
2021-01-04,Japan,JPN,Tokyo,35.6762,139.6503,4.2,10.1,-1.3,0.0,61,17.3,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
2021-01-05,Japan,JPN,Tokyo,35.6762,139.6503,3.7,9.0,-0.9,0.0,82,18.8,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
2021-01-06,Japan,JPN,Tokyo,35.6762,139.6503,4.3,7.7,1.3,0.0,77,19.9,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
2021-01-07,Japan,JPN,Tokyo,35.6762,139.6503,4.3,10.8,0.0,0.0,59,62.5,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
2021-01-08,Japan,JPN,Tokyo,35.6762,139.6503,0.3,5.1,-4.6,0.0,43,30.6,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
2021-01-09,Japan,JPN,Tokyo,35.6762,139.6503,1.2,7.8,-3.7,0.0,37,19.5,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
2021-01-10,Japan,JPN,Tokyo,35.6762,139.6503,0.6,7.2,-5.0,0.0,53,18.2,Open-Meteo archive API,Asia/Tokyo,2026-07-11T00:59:51.312701+00:00
