date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2024-01-17,South Korea,KOR,Seoul,37.5665,126.9780,-1.6,1.1,-5.7,7.7,65,7.8,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-18,South Korea,KOR,Seoul,37.5665,126.9780,2.7,9.8,-0.7,1.0,81,21.0,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-19,South Korea,KOR,Seoul,37.5665,126.9780,3.2,7.4,0.9,0.0,70,21.1,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-20,South Korea,KOR,Seoul,37.5665,126.9780,1.7,4.0,0.4,2.2,69,22.7,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-21,South Korea,KOR,Seoul,37.5665,126.9780,0.6,2.5,-3.0,0.1,72,17.5,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-22,South Korea,KOR,Seoul,37.5665,126.9780,-8.6,-4.2,-12.4,0.0,50,22.9,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-23,South Korea,KOR,Seoul,37.5665,126.9780,-12.3,-9.0,-15.0,0.0,40,23.8,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-24,South Korea,KOR,Seoul,37.5665,126.9780,-8.9,-4.3,-12.0,0.0,40,23.0,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-25,South Korea,KOR,Seoul,37.5665,126.9780,-6.0,-0.8,-9.2,0.0,36,13.8,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-26,South Korea,KOR,Seoul,37.5665,126.9780,-3.6,3.1,-7.5,0.0,65,15.5,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-27,South Korea,KOR,Seoul,37.5665,126.9780,-2.4,4.1,-7.3,0.0,71,14.2,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-28,South Korea,KOR,Seoul,37.5665,126.9780,-3.1,1.5,-6.7,0.0,70,13.0,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-29,South Korea,KOR,Seoul,37.5665,126.9780,-2.4,3.9,-6.5,0.0,72,9.4,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-30,South Korea,KOR,Seoul,37.5665,126.9780,-0.6,6.3,-5.8,0.0,58,8.3,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-01-31,South Korea,KOR,Seoul,37.5665,126.9780,1.6,8.8,-3.8,0.0,57,12.0,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-01,South Korea,KOR,Seoul,37.5665,126.9780,0.1,5.6,-3.7,0.0,71,16.8,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-02,South Korea,KOR,Seoul,37.5665,126.9780,1.0,4.9,-3.2,0.0,72,12.3,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-03,South Korea,KOR,Seoul,37.5665,126.9780,1.4,6.8,-3.0,1.4,77,12.1,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-04,South Korea,KOR,Seoul,37.5665,126.9780,4.1,9.3,0.8,0.0,77,15.9,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-05,South Korea,KOR,Seoul,37.5665,126.9780,1.4,2.6,-0.9,7.6,78,24.7,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-06,South Korea,KOR,Seoul,37.5665,126.9780,0.5,3.7,-1.8,1.0,78,12.6,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-07,South Korea,KOR,Seoul,37.5665,126.9780,-1.4,2.9,-5.7,0.0,80,7.4,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-08,South Korea,KOR,Seoul,37.5665,126.9780,-1.7,3.5,-5.0,0.0,78,9.0,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-09,South Korea,KOR,Seoul,37.5665,126.9780,-1.2,4.3,-4.5,0.0,76,17.6,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-10,South Korea,KOR,Seoul,37.5665,126.9780,-0.9,6.5,-5.3,0.0,74,18.0,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-11,South Korea,KOR,Seoul,37.5665,126.9780,-1.7,5.1,-7.1,0.0,74,25.0,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-12,South Korea,KOR,Seoul,37.5665,126.9780,0.1,8.6,-6.2,0.0,68,12.5,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-13,South Korea,KOR,Seoul,37.5665,126.9780,5.6,13.0,-0.3,0.0,81,25.6,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-14,South Korea,KOR,Seoul,37.5665,126.9780,9.3,16.3,4.0,1.0,88,17.5,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-15,South Korea,KOR,Seoul,37.5665,126.9780,4.4,8.9,-1.6,8.6,93,22.2,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-16,South Korea,KOR,Seoul,37.5665,126.9780,-0.1,6.1,-4.8,0.0,76,10.5,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-17,South Korea,KOR,Seoul,37.5665,126.9780,1.2,8.4,-4.7,0.0,80,8.3,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-18,South Korea,KOR,Seoul,37.5665,126.9780,4.0,9.2,-2.8,8.5,79,16.0,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-19,South Korea,KOR,Seoul,37.5665,126.9780,8.8,11.9,2.1,8.6,94,18.9,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-20,South Korea,KOR,Seoul,37.5665,126.9780,2.8,6.7,0.3,2.0,76,21.6,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-21,South Korea,KOR,Seoul,37.5665,126.9780,1.7,2.7,0.1,15.3,81,23.5,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-22,South Korea,KOR,Seoul,37.5665,126.9780,-0.6,0.9,-2.1,5.7,77,20.4,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-23,South Korea,KOR,Seoul,37.5665,126.9780,0.6,5.8,-2.6,0.2,67,18.4,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-24,South Korea,KOR,Seoul,37.5665,126.9780,0.6,6.0,-3.7,2.1,71,15.0,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-25,South Korea,KOR,Seoul,37.5665,126.9780,1.7,5.6,-2.2,2.1,79,12.6,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-26,South Korea,KOR,Seoul,37.5665,126.9780,1.8,8.1,-3.4,0.0,70,11.7,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-27,South Korea,KOR,Seoul,37.5665,126.9780,2.2,8.5,-2.8,0.0,66,16.6,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-28,South Korea,KOR,Seoul,37.5665,126.9780,3.9,7.9,1.1,0.0,70,10.5,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-02-29,South Korea,KOR,Seoul,37.5665,126.9780,2.8,7.5,-1.9,0.1,70,18.7,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-03-01,South Korea,KOR,Seoul,37.5665,126.9780,-4.9,-1.3,-7.9,0.0,36,25.3,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-03-02,South Korea,KOR,Seoul,37.5665,126.9780,-2.0,4.4,-8.3,3.6,55,33.1,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-03-03,South Korea,KOR,Seoul,37.5665,126.9780,1.6,7.6,-4.3,0.4,79,22.1,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-03-04,South Korea,KOR,Seoul,37.5665,126.9780,2.1,9.0,-5.3,0.0,56,8.3,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-03-05,South Korea,KOR,Seoul,37.5665,126.9780,5.3,10.5,2.5,0.6,61,15.7,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-03-06,South Korea,KOR,Seoul,37.5665,126.9780,4.0,8.9,-1.3,0.0,67,15.4,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-03-07,South Korea,KOR,Seoul,37.5665,126.9780,2.6,7.1,-1.3,2.1,65,18.7,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
2024-03-08,South Korea,KOR,Seoul,37.5665,126.9780,0.1,5.9,-4.3,0.0,55,24.7,Open-Meteo archive API,Asia/Seoul,2026-07-11T03:35:50.140646+00:00
