date,location,location_code,representative_city,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,source,source_timezone,downloaded_at
2021-01-01,Russia,RUS,Moscow,55.7558,37.6173,-1.0,-0.1,-2.1,3.2,96,18.4,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-02,Russia,RUS,Moscow,55.7558,37.6173,-0.6,0.5,-1.1,3.1,95,19.5,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-03,Russia,RUS,Moscow,55.7558,37.6173,-0.7,0.1,-1.9,1.0,92,17.2,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-04,Russia,RUS,Moscow,55.7558,37.6173,-0.8,0.3,-1.7,2.7,96,18.1,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-05,Russia,RUS,Moscow,55.7558,37.6173,-1.8,-1.0,-3.7,0.0,96,14.1,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-06,Russia,RUS,Moscow,55.7558,37.6173,-4.4,-3.9,-5.1,0.0,92,9.0,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-07,Russia,RUS,Moscow,55.7558,37.6173,-5.9,-5.2,-6.7,3.7,92,11.2,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-08,Russia,RUS,Moscow,55.7558,37.6173,-5.0,-4.0,-6.3,0.4,92,18.7,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-09,Russia,RUS,Moscow,55.7558,37.6173,-6.1,-5.4,-6.6,1.8,89,15.9,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-10,Russia,RUS,Moscow,55.7558,37.6173,-8.9,-5.9,-12.4,1.4,86,17.3,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-11,Russia,RUS,Moscow,55.7558,37.6173,-11.5,-9.9,-14.0,0.6,86,10.0,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-12,Russia,RUS,Moscow,55.7558,37.6173,-12.8,-11.3,-15.2,0.5,88,16.2,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-13,Russia,RUS,Moscow,55.7558,37.6173,-11.6,-9.9,-13.5,0.9,85,30.9,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-14,Russia,RUS,Moscow,55.7558,37.6173,-15.5,-13.2,-17.2,8.1,79,31.9,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-15,Russia,RUS,Moscow,55.7558,37.6173,-19.0,-17.5,-20.9,0.0,80,11.6,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-16,Russia,RUS,Moscow,55.7558,37.6173,-16.6,-16.1,-17.9,9.0,79,22.6,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-17,Russia,RUS,Moscow,55.7558,37.6173,-20.1,-17.3,-24.8,0.1,78,21.5,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-18,Russia,RUS,Moscow,55.7558,37.6173,-23.4,-19.2,-27.8,0.0,82,10.1,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
2021-01-19,Russia,RUS,Moscow,55.7558,37.6173,-18.1,-13.9,-21.0,0.4,82,12.0,Open-Meteo archive API,Europe/Moscow,2026-07-11T00:59:33.142536+00:00
