source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),FIN,,COUNTRY,2020,38.54,38.54,,,,,,,"{""Id"": 36501, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""FIN"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""38.54"", ""NumericValue"": 38.54, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:53+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),HUN,,COUNTRY,2020,29.88,29.88,,,,,,,"{""Id"": 775545, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""HUN"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""29.88"", ""NumericValue"": 29.88, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:56+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),LUX,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 1204111, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LUX"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:59+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),IRL,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 1772152, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""IRL"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:56+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),SVK,,COUNTRY,2020,9.51,9.51,,,,,,,"{""Id"": 2258350, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SVK"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""9.51"", ""NumericValue"": 9.51, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:05+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),EST,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 2404067, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""EST"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:53+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),DNK,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 2757952, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""DNK"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:53+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),MDA,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 2778395, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MDA"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:02+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),LTU,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 2818945, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LTU"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:58+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),CYP,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 3094616, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CYP"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:52+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),DEU,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 3256239, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""DEU"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:55+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D3_DEATHS_COVID_MRATE,PRISON_D3_DEATHS_COVID_MRATE,In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year),CHE,,COUNTRY,2020,14.5,14.5,,,,,,,"{""Id"": 3386693, ""IndicatorCode"": ""PRISON_D3_DEATHS_COVID_MRATE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CHE"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""14.50"", ""NumericValue"": 14.5, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:06+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
