source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),LTU,,COUNTRY,2020,8.0,8.0,,,,,,,"{""Id"": 593254, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LTU"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""8"", ""NumericValue"": 8.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:58+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),GEO,,COUNTRY,2020,9.0,9.0,,,,,,,"{""Id"": 754261, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GEO"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""9"", ""NumericValue"": 9.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:54+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),ARM,,COUNTRY,2020,4.0,4.0,,,,,,,"{""Id"": 1571097, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""4"", ""NumericValue"": 4.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:47+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),LVA,,COUNTRY,2020,5.0,5.0,,,,,,,"{""Id"": 1698567, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LVA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""5"", ""NumericValue"": 5.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:57+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),CYP,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 2351461, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CYP"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:52+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),GRC,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 2582900, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GRC"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:55+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),CZE,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 3184664, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CZE"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:52+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),ALB,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 3401693, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ALB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:47+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),ROU,,COUNTRY,2020,7.0,7.0,,,,,,,"{""Id"": 3482868, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ROU"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""7"", ""NumericValue"": 7.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:03+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_MDRTB_DIAG_TOT,PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),BGR,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 4516651, ""IndicatorCode"": ""PRISON_D4_MDRTB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BGR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:51+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
