source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),POL,,COUNTRY,2020,334.0,334.0,,,,,,,"{""Id"": 804254, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""POL"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""334"", ""NumericValue"": 334.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:01+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),AUT,,COUNTRY,2020,6.0,6.0,,,,,,,"{""Id"": 1451219, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""AUT"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""6"", ""NumericValue"": 6.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:48+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),BIH,,COUNTRY,2020,4.0,4.0,,,,,,,"{""Id"": 1677610, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BIH"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""4"", ""NumericValue"": 4.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:50+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),BEL,,COUNTRY,2020,9.0,9.0,,,,,,,"{""Id"": 1918898, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BEL"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""9"", ""NumericValue"": 9.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:49+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),ESP,,COUNTRY,2020,21.0,21.0,,,,,,,"{""Id"": 1927431, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ESP"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""21"", ""NumericValue"": 21.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:06+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),ROU,,COUNTRY,2020,180.0,180.0,,,,,,,"{""Id"": 1999271, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ROU"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""180"", ""NumericValue"": 180.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:03+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),SMR,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 2034505, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SMR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:03+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),ARM,,COUNTRY,2020,6.0,6.0,,,,,,,"{""Id"": 2182663, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""6"", ""NumericValue"": 6.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:47+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),HUN,,COUNTRY,2020,2.0,2.0,,,,,,,"{""Id"": 2372007, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""HUN"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""2"", ""NumericValue"": 2.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:56+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_TB_DIAG_TOT,PRISON_D4_TB_DIAG_TOT,In-prison TB diagnosis (number of diagnoses),UKR,,COUNTRY,2020,978.0,978.0,,,,,,,"{""Id"": 3617248, ""IndicatorCode"": ""PRISON_D4_TB_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""UKR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""978"", ""NumericValue"": 978.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:07+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
