source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,IDN,,COUNTRY,2020,37.52982,37.52982,31.59631,43.65754,,,,,"{""Id"": 1008327, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""IDN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2020, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""37.5 [31.6-43.7]"", ""NumericValue"": 37.52982, ""Low"": 31.59631, ""High"": 43.65754, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,KEN,,COUNTRY,2017,26.14374,26.14374,20.33784,31.94965,,,,,"{""Id"": 2694431, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""KEN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2017, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""26.1 [20.3-31.9]"", ""NumericValue"": 26.14374, ""Low"": 20.33784, ""High"": 31.94965, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,VNM,,COUNTRY,2016,59.6,59.6,55.35634,63.7,,,,,"{""Id"": 3035517, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""VNM"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2016, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""59.6 [55.4-63.7]"", ""NumericValue"": 59.6, ""Low"": 55.35634, ""High"": 63.7, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2016"", ""TimeDimensionBegin"": ""2016-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2016-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,PNG,,COUNTRY,2018,33.24585,33.24585,26.39466,40.47323,,,,,"{""Id"": 3399726, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PNG"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2018, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""33.2 [26.4-40.5]"", ""NumericValue"": 33.24585, ""Low"": 26.39466, ""High"": 40.47323, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2018"", ""TimeDimensionBegin"": ""2018-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2018-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,LAO,,COUNTRY,2018,62.33102,62.33102,57.47582,67.06519,,,,,"{""Id"": 3518547, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LAO"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2018, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""62.3 [57.5-67.1]"", ""NumericValue"": 62.33102, ""Low"": 57.47582, ""High"": 67.06519, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2018"", ""TimeDimensionBegin"": ""2018-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2018-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,BRA,,COUNTRY,2020,44.42379,44.42379,39.46835,49.43547,,,,,"{""Id"": 4257048, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BRA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2020, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""44.4 [39.5-49.4]"", ""NumericValue"": 44.42379, ""Low"": 39.46835, ""High"": 49.43547, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,COD,,COUNTRY,2019,51.2463,51.2463,44.4419,58.02758,,,,,"{""Id"": 4324180, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""COD"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2019, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""51.2 [44.4-58.0]"", ""NumericValue"": 51.2463, ""Low"": 44.4419, ""High"": 58.02758, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,THA,,COUNTRY,2020,29.47031,29.47031,25.11641,34.02044,,,,,"{""Id"": 4599684, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""THA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""SEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2020, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""29.5 [25.1-34.0]"", ""NumericValue"": 29.47031, ""Low"": 25.11641, ""High"": 34.02044, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,ZWE,,COUNTRY,2018,79.47998,79.47998,73.66627,84.73722,,,,,"{""Id"": 4680910, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ZWE"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2018, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""79.5 [73.7-84.7]"", ""NumericValue"": 79.47998, ""Low"": 73.66627, ""High"": 84.73722, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2018"", ""TimeDimensionBegin"": ""2018-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2018-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_DSTB,TB_cc_prct_DSTB,Percentage of TB-affected households facing costs >20% of household income or expenditure due to DS-TB.,PHL,,COUNTRY,2017,41.6855,41.6855,38.23785,45.17434,,,,,"{""Id"": 5203447, ""IndicatorCode"": ""TB_cc_prct_DSTB"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PHL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_TREATMENTTYPE"", ""TimeDim"": 2017, ""Dim1"": ""TB_TREATMENTTYPE_TB_TREATMENTTYPE_DSTB"", ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""41.7 [38.2-45.2]"", ""NumericValue"": 41.6855, ""Low"": 38.23785, ""High"": 45.17434, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
