source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,BRA,,COUNTRY,2020,45.79439,45.79439,36.07155,55.68173,,,,,"{""Id"": 733746, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BRA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""45.8 [36.1-55.7]"", ""NumericValue"": 45.79439, ""Low"": 36.07155, ""High"": 55.68173, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,SLB,,COUNTRY,2019,100.0,100.0,,,,,,,"{""Id"": 831453, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SLB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""100.0"", ""NumericValue"": 100.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,GHA,,COUNTRY,2016,89.66373,89.66373,85.30937,93.32727,,,,,"{""Id"": 1220161, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GHA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2016, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""89.7 [85.3-93.3]"", ""NumericValue"": 89.66373, ""Low"": 85.30937, ""High"": 93.32727, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2016"", ""TimeDimensionBegin"": ""2016-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2016-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,COD,,COUNTRY,2019,76.81977,76.81977,68.13392,84.48881,,,,,"{""Id"": 1728345, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""COD"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""76.8 [68.1-84.5]"", ""NumericValue"": 76.81977, ""Low"": 68.13392, ""High"": 84.48881, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,MLI,,COUNTRY,2020,84.21053,84.21053,76.14697,90.86603,,,,,"{""Id"": 2193533, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MLI"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""84.2 [76.1-90.9]"", ""NumericValue"": 84.21053, ""Low"": 76.14697, ""High"": 90.86603, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,NGA,,COUNTRY,2017,89.60298,89.60298,85.33379,93.2101,,,,,"{""Id"": 2276658, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""NGA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2017, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""89.6 [85.3-93.2]"", ""NumericValue"": 89.60298, ""Low"": 85.33379, ""High"": 93.2101, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,FJI,,COUNTRY,2017,56.52174,56.52174,41.69802,70.77203,,,,,"{""Id"": 2634453, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""FJI"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2017, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""56.5 [41.7-70.8]"", ""NumericValue"": 56.52174, ""Low"": 41.69802, ""High"": 70.77203, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,ZWE,,COUNTRY,2018,95.0653,95.0653,91.50273,97.70057,,,,,"{""Id"": 3944084, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ZWE"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2018, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""95.1 [91.5-97.7]"", ""NumericValue"": 95.0653, ""Low"": 91.50273, ""High"": 97.70057, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2018"", ""TimeDimensionBegin"": ""2018-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2018-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,THA,,COUNTRY,2020,67.99304,67.99304,58.37576,76.89436,,,,,"{""Id"": 4821174, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""THA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""SEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""68.0 [58.4-76.9]"", ""NumericValue"": 67.99304, ""Low"": 58.37576, ""High"": 76.89436, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_cc_prct_Q1,TB_cc_prct_Q1,Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile.,TZA,,COUNTRY,2019,87.12394,87.12394,79.58493,93.12939,,,,,"{""Id"": 4887581, ""IndicatorCode"": ""TB_cc_prct_Q1"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TZA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""WEALTHQUINTILE"", ""Dim1"": ""WEALTHQUINTILE_WQ1"", ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""87.1 [79.6-93.1]"", ""NumericValue"": 87.12394, ""Low"": 79.58493, ""High"": 93.12939, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
