source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),POL,,COUNTRY,2020,603.0,603.0,,,,,,,"{""Id"": 916773, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""POL"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""603"", ""NumericValue"": 603.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:01+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),BIH,,COUNTRY,2020,164.0,164.0,,,,,,,"{""Id"": 988017, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BIH"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""164"", ""NumericValue"": 164.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:50+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),LTU,,COUNTRY,2020,529.0,529.0,,,,,,,"{""Id"": 1112792, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LTU"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""529"", ""NumericValue"": 529.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:58+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),MDA,,COUNTRY,2020,166.0,166.0,,,,,,,"{""Id"": 1129062, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MDA"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""166"", ""NumericValue"": 166.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:02+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),FRA,,COUNTRY,2020,1173.0,1173.0,,,,,,,"{""Id"": 1640228, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""FRA"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1173"", ""NumericValue"": 1173.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:54+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),PRT,,COUNTRY,2020,520.0,520.0,,,,,,,"{""Id"": 1772720, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PRT"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""520"", ""NumericValue"": 520.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:02+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),AUT,,COUNTRY,2020,175.0,175.0,,,,,,,"{""Id"": 1912319, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""AUT"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""175"", ""NumericValue"": 175.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:48+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),CYP,,COUNTRY,2020,0.0,0.0,,,,,,,"{""Id"": 2058188, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CYP"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:52+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),ALB,,COUNTRY,2020,142.0,142.0,,,,,,,"{""Id"": 2169412, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ALB"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""142"", ""NumericValue"": 142.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:47+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_COVID_TOT,PRISON_D4_COVID_TOT,In-prison COVID-19 diagnosis (number of diagnoses),BGR,,COUNTRY,2020,53.0,53.0,,,,,,,"{""Id"": 2172850, ""IndicatorCode"": ""PRISON_D4_COVID_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BGR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""53"", ""NumericValue"": 53.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:51+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
