source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),PNG,,COUNTRY,2018,27.5,27.5,,,,,,,"{""Id"": 48837, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PNG"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""TimeDim"": 2018, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""27.5"", ""NumericValue"": 27.5, ""Low"": null, ""High"": null, ""Comments"": ""Source:2018 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2018"", ""TimeDimensionBegin"": ""2018-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2018-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),CIV,,COUNTRY,2012,49.9,49.9,,,,,,,"{""Id"": 621176, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CIV"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2012, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""49.9"", ""NumericValue"": 49.9, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2011-12 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2012"", ""TimeDimensionBegin"": ""2012-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2012-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),STP,,COUNTRY,2009,57.3,57.3,,,,,,,"{""Id"": 629321, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""STP"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2009, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""57.3"", ""NumericValue"": 57.3, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2008-09 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2009"", ""TimeDimensionBegin"": ""2009-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2009-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),BFA,,COUNTRY,2010,67.6,67.6,,,,,,,"{""Id"": 803687, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BFA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2010, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""67.6"", ""NumericValue"": 67.6, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2010 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2010"", ""TimeDimensionBegin"": ""2010-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2010-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),GMB,,COUNTRY,2019,57.8,57.8,,,,,,,"{""Id"": 860048, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GMB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2019, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""57.8"", ""NumericValue"": 57.8, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2019 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),COL,,COUNTRY,2015,70.5,70.5,,,,,,,"{""Id"": 991782, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""COL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""TimeDim"": 2015, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""70.5"", ""NumericValue"": 70.5, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2015 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2015"", ""TimeDimensionBegin"": ""2015-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2015-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),CHL,,COUNTRY,2016,39.1,39.1,,,,,,,"{""Id"": 1146487, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CHL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""TimeDim"": 2016, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""39.1"", ""NumericValue"": 39.1, ""Low"": null, ""High"": null, ""Comments"": ""Source: MICS 2015-2016"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2016"", ""TimeDimensionBegin"": ""2016-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2016-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),RWA,,COUNTRY,2015,54.7,54.7,,,,,,,"{""Id"": 1167588, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""RWA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2015, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""54.7"", ""NumericValue"": 54.7, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2014-15 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2015"", ""TimeDimensionBegin"": ""2015-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2015-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),CIV,,COUNTRY,2021,47.2,47.2,,,,,,,"{""Id"": 1622962, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CIV"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2021, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""47.2"", ""NumericValue"": 47.2, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2021 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),GAB,,COUNTRY,2019,64.9,64.9,,,,,,,"{""Id"": 1839998, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GAB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2019, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""64.9"", ""NumericValue"": 64.9, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2019 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),TGO,,COUNTRY,2014,51.3,51.3,,,,,,,"{""Id"": 1878885, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TGO"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2014, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""51.3"", ""NumericValue"": 51.3, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2013-14 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),CMR,,COUNTRY,2011,63.5,63.5,,,,,,,"{""Id"": 1912363, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CMR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2011, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""63.5"", ""NumericValue"": 63.5, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2011 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2011"", ""TimeDimensionBegin"": ""2011-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2011-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),NPL,,COUNTRY,2022,70.2,70.2,,,,,,,"{""Id"": 1959620, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""NPL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""SEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": null, ""TimeDim"": 2022, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""70.2"", ""NumericValue"": 70.2, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2022 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2022"", ""TimeDimensionBegin"": ""2022-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2022-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),SEN,,COUNTRY,2014,68.9,68.9,,,,,,,"{""Id"": 2169047, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SEN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2014, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""68.9"", ""NumericValue"": 68.9, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2014 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_CONDOMUSE_PERCENT,HIV_CONDOMUSE_PERCENT,Condom use at last high-risk sex (percent),BOL,,COUNTRY,2003,27.6,27.6,,,,,,,"{""Id"": 2184254, ""IndicatorCode"": ""HIV_CONDOMUSE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BOL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""TimeDim"": 2003, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""27.6"", ""NumericValue"": 27.6, ""Low"": null, ""High"": null, ""Comments"": ""Source: 2003 DHS"", ""Date"": ""2025-03-20T10:33:15.227+01:00"", ""TimeDimensionValue"": ""2003"", ""TimeDimensionBegin"": ""2003-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2003-12-31T00:00:00+01:00""}"
