source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),UKR,,COUNTRY,2023,11.0,11.0,,,,,,,"{""Id"": 937631, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""UKR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""11"", ""NumericValue"": 11.0, ""Low"": null, ""High"": null, ""Comments"": ""Source: Programme data 2023"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),ARM,,COUNTRY,2022,5.6,5.6,,,,,,,"{""Id"": 1062835, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2022, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""5.6"", ""NumericValue"": 5.6, ""Low"": null, ""High"": null, ""Comments"": ""Source: National programme data 2022"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2022"", ""TimeDimensionBegin"": ""2022-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2022-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),NPL,,COUNTRY,2020,2.8,2.8,,,,,,,"{""Id"": 1097887, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""NPL"", ""ParentLocationCode"": ""SEAR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""2.8"", ""NumericValue"": 2.8, ""Low"": null, ""High"": null, ""Comments"": ""Source: National programme data 2020"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),KEN,,COUNTRY,2021,13.3,13.3,,,,,,,"{""Id"": 1238831, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""KEN"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""13.3"", ""NumericValue"": 13.3, ""Low"": null, ""High"": null, ""Comments"": ""Source: National programme data 2021"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),THA,,COUNTRY,2023,9.4,9.4,,,,,,,"{""Id"": 1539508, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""THA"", ""ParentLocationCode"": ""SEAR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""9.4"", ""NumericValue"": 9.4, ""Low"": null, ""High"": null, ""Comments"": ""Source: National programme data 2023"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),BLR,,COUNTRY,2021,3.9,3.9,,,,,,,"{""Id"": 1579466, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BLR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""3.9"", ""NumericValue"": 3.9, ""Low"": null, ""High"": null, ""Comments"": ""Source: Данные  ГУ \""Республиканский научно-практический центр психического здоровья\"" за 2021 год"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),SRB,,COUNTRY,2024,41.5,41.5,,,,,,,"{""Id"": 1780083, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SRB"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""41.5"", ""NumericValue"": 41.5, ""Low"": null, ""High"": null, ""Comments"": ""Source: Republican Health Insurance Fund (RHIF) 2024"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),AZE,,COUNTRY,2022,1.8,1.8,,,,,,,"{""Id"": 2014170, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""AZE"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2022, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""1.8"", ""NumericValue"": 1.8, ""Low"": null, ""High"": null, ""Comments"": ""Source: National programme data 2022"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2022"", ""TimeDimensionBegin"": ""2022-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2022-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),ARM,,COUNTRY,2024,6.3,6.3,,,,,,,"{""Id"": 2080272, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""6.3"", ""NumericValue"": 6.3, ""Low"": null, ""High"": null, ""Comments"": ""Source: National programme data 2024"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,HIV_OAMT_COVERAGE_PERCENT,HIV_OAMT_COVERAGE_PERCENT,Coverage of opioid agonist maintenance therapy (percent),GEO,,COUNTRY,2021,31.3,31.3,,,,,,,"{""Id"": 2250315, ""IndicatorCode"": ""HIV_OAMT_COVERAGE_PERCENT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GEO"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": ""DATASOURCE"", ""DataSourceDim"": ""DATASOURCE_GAM"", ""Value"": ""31.3"", ""NumericValue"": 31.3, ""Low"": null, ""High"": null, ""Comments"": ""Source: OST program data"", ""Date"": ""2025-07-22T13:33:20.36+02:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
