source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),AUT,,COUNTRY,2020,201.0,201.0,,,,,,,"{""Id"": 663622, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""AUT"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""201"", ""NumericValue"": 201.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:48+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),LTU,,COUNTRY,2020,237.0,237.0,,,,,,,"{""Id"": 779787, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LTU"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""237"", ""NumericValue"": 237.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:58+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),EST,,COUNTRY,2020,254.0,254.0,,,,,,,"{""Id"": 932405, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""EST"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""254"", ""NumericValue"": 254.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:53+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),POL,,COUNTRY,2020,33.0,33.0,,,,,,,"{""Id"": 1214919, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""POL"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""33"", ""NumericValue"": 33.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:01+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),MLT,,COUNTRY,2020,5.0,5.0,,,,,,,"{""Id"": 2138644, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MLT"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""5"", ""NumericValue"": 5.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:00+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),LUX,,COUNTRY,2020,6.0,6.0,,,,,,,"{""Id"": 2139181, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LUX"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""6"", ""NumericValue"": 6.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:59+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),MDA,,COUNTRY,2020,162.0,162.0,,,,,,,"{""Id"": 2634706, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MDA"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""162"", ""NumericValue"": 162.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:02+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),CZE,,COUNTRY,2020,52.0,52.0,,,,,,,"{""Id"": 2777075, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CZE"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""52"", ""NumericValue"": 52.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:31:52+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),SVN,,COUNTRY,2020,1.0,1.0,,,,,,,"{""Id"": 3158432, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SVN"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1"", ""NumericValue"": 1.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:05+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,PRISON_D4_HIV_DIAG_TOT,PRISON_D4_HIV_DIAG_TOT,In-prison HIV diagnosis (number of diagnoses),UKR,,COUNTRY,2020,3901.0,3901.0,,,,,,,"{""Id"": 3291522, ""IndicatorCode"": ""PRISON_D4_HIV_DIAG_TOT"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""UKR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""3901"", ""NumericValue"": 3901.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-01-23T14:32:07+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
