source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",LTU,,COUNTRY,2014,Most (61-100%),,,,,,,,"{""Id"": 28132, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LTU"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HIVARVTREATMENT"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Most (61-100%)"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-08-10T12:29:54+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",USA,,COUNTRY,2014,No data,,,,,,,,"{""Id"": 33475, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""USA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HEPVACCINATION"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""No data"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-09-06T13:21:26+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",ZAF,,COUNTRY,2014,No data,,,,,,,,"{""Id"": 55217, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ZAF"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HIVARVTREATMENT"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""No data"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-09-06T13:21:27+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",EGY,,COUNTRY,2014,No data,,,,,,,,"{""Id"": 570969, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""EGY"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EMR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HEPVACCINATION"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""No data"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-09-06T13:21:20+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",ALB,,COUNTRY,2014,Few (1-10%),,,,,,,,"{""Id"": 585664, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ALB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HIVTESTINGANDCOUNSELLING"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Few (1-10%)"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-08-10T12:29:46+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",ARM,,COUNTRY,2014,No data,,,,,,,,"{""Id"": 586476, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HIVARVTREATMENT"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""No data"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-09-06T13:21:17+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",TGO,,COUNTRY,2014,Some (11-30%),,,,,,,,"{""Id"": 593733, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TGO"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HIVARVTREATMENT"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Some (11-30%)"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-08-10T12:30:00+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",MKD,,COUNTRY,2014,Some (11-30%),,,,,,,,"{""Id"": 614019, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MKD"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HEPTESTINGANDCOUNSELLING"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Some (11-30%)"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-08-10T12:29:55+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",BLR,,COUNTRY,2014,None,,,,,,,,"{""Id"": 623200, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BLR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HIVARVTREATMENT"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""None"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-08-10T12:29:47+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,RSUD_620,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",CZE,,COUNTRY,2014,Most (61-100%),,,,,,,,"{""Id"": 628556, ""IndicatorCode"": ""RSUD_620"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CZE"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""RSUD_HIVHEP_CT"", ""Dim1"": ""RSUD_HIVHEP_CT_CT_HIVARVTREATMENT"", ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Most (61-100%)"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-08-10T12:29:49+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
