source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),CHE,,COUNTRY,2017,500,,,,,,,,"{""Id"": 43688, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CHE"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2017, ""Dim1"": ""EMFEXPOSED_EMFWORKER"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFLOW"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""500"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-05-04T08:04:54+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),AUS,,COUNTRY,2017,[100]/[1000],,,,,,,,"{""Id"": 777892, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""AUS"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2017, ""Dim1"": ""EMFEXPOSED_EMFPUBLIC"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFLOW"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""[100]/[1000]"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": ""100 microT: continuous; 100  micro - 1000 microT: limited to a few hours a day; > 1000 microT: limited to a few minutes a day"", ""Date"": ""2017-05-31T12:57:26+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),NOR,,COUNTRY,2017,"1,000/6,000/18,000",,,,,,,,"{""Id"": 822212, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""NOR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2017, ""Dim1"": ""EMFEXPOSED_EMFWORKER"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFLOW"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1,000/6,000/18,000"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": ""1 mT for low action levels; 6 mT for high action levels; 18 mT (exposure of limbs to localized magnetic field"", ""Date"": ""2017-05-04T08:04:54+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),AUT,,COUNTRY,2017,[100],,,,,,,,"{""Id"": 971654, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""AUT"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2017, ""Dim1"": ""EMFEXPOSED_EMFPUBLIC"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFLOW"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""[100]"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-05-31T12:57:26+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),PHL,,COUNTRY,2017,83.33,,,,,,,,"{""Id"": 990183, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PHL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2017, ""Dim1"": ""EMFEXPOSED_EMFPUBLIC"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFLOW"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""83.33"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-05-31T12:57:29+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),SGP,,COUNTRY,2018,[500],,,,,,,,"{""Id"": 1045201, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SGP"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2018, ""Dim1"": ""EMFEXPOSED_EMFWORKER"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFLOW"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""[500]"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2018-06-11T12:58:34+02:00"", ""TimeDimensionValue"": ""2018"", ""TimeDimensionBegin"": ""2018-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2018-12-31T00:00:00+01:00""}"
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),ARG,,COUNTRY,2017,25,,,,,,,,"{""Id"": 1077103, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARG"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2017, ""Dim1"": ""EMFEXPOSED_EMFPUBLIC"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFLOW"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""25"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-05-31T12:57:26+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),CHE,,COUNTRY,2017,"[2,000,000]",,,,,,,,"{""Id"": 1277994, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CHE"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2017, ""Dim1"": ""EMFEXPOSED_EMFWORKER"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFSTATIC"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""[2,000,000]"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-05-31T13:53:56+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),FIN,,COUNTRY,2017,"[40,000]",,,,,,,,"{""Id"": 1358607, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""FIN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2017, ""Dim1"": ""EMFEXPOSED_EMFPUBLIC"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFSTATIC"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""[40,000]"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2017-05-31T12:54:20+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,EMFLIMITMAGNETIC,EMFLIMITMAGNETIC,Magnetic flux density (microT),FRA,,COUNTRY,2017,"2,000,000/8,000,000",,,,,,,,"{""Id"": 1487415, ""IndicatorCode"": ""EMFLIMITMAGNETIC"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""FRA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""EMFEXPOSED"", ""TimeDim"": 2017, ""Dim1"": ""EMFEXPOSED_EMFWORKER"", ""Dim2Type"": ""EMFFREQUENCY"", ""Dim2"": ""EMFFREQUENCY_EMFSTATIC"", ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""2,000,000/8,000,000"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": ""Sensory effects exposure limit values (ELV): 2T for normal working conditions; 8T for localised limbs exposure // Health effects ELVs: 8T forcontrolled working conditions // Action levels (AL): 500 microT for interference with active implanted devices; 3,000 microT for attraction and projectile risk in the fringe field of high field strength sources (> 100 mT)  (DIRECTIVE 2013/35/EU)"", ""Date"": ""2017-05-31T13:53:57+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
