source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,SEN,,COUNTRY,2019,Affordable,,,,,,,,"{""Id"": 590, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SEN"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Affordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:15:00+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,ZWE,,COUNTRY,2019,Unaffordable,,,,,,,,"{""Id"": 27819, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ZWE"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Unaffordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:15:05+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,LAO,,COUNTRY,2019,Unaffordable,,,,,,,,"{""Id"": 60551, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LAO"", ""ParentLocationCode"": ""WPR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Unaffordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:14:53+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,ECU,,COUNTRY,2019,Affordable,,,,,,,,"{""Id"": 561508, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ECU"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Affordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:14:48+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,JOR,,COUNTRY,2019,Unaffordable,,,,,,,,"{""Id"": 831641, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""JOR"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Unaffordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:14:53+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,BEL,,COUNTRY,2019,Affordable,,,,,,,,"{""Id"": 885872, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BEL"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Affordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:14:44+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,HRV,,COUNTRY,2019,Affordable,,,,,,,,"{""Id"": 921397, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""HRV"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Affordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:14:47+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,BRA,,COUNTRY,2019,Unaffordable,,,,,,,,"{""Id"": 1012667, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BRA"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Unaffordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:14:45+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,CZE,,COUNTRY,2019,Affordable,,,,,,,,"{""Id"": 1464228, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CZE"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Affordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:14:47+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,AUT,,COUNTRY,2019,Affordable,,,,,,,,"{""Id"": 1634544, ""IndicatorCode"": ""ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""AUT"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""Affordable"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2023-04-17T13:14:44+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
