source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),UZB,,COUNTRY,2008,0.4,0.4,,,,,,,"{""Id"": 1226, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""UZB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2008, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.4"", ""NumericValue"": 0.4, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:03:02+02:00"", ""TimeDimensionValue"": ""2008"", ""TimeDimensionBegin"": ""2008-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2008-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),LBR,,COUNTRY,2008,0.0,0.0,,,,,,,"{""Id"": 9503, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LBR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2008, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:02:01+02:00"", ""TimeDimensionValue"": ""2008"", ""TimeDimensionBegin"": ""2008-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2008-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),BDI,,COUNTRY,2013,0.5,0.5,,,,,,,"{""Id"": 12006, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BDI"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2013, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.5"", ""NumericValue"": 0.5, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:03:28+02:00"", ""TimeDimensionValue"": ""2013"", ""TimeDimensionBegin"": ""2013-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2013-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),MHL,,COUNTRY,2013,0.0,0.0,,,,,,,"{""Id"": 18046, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MHL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""TimeDim"": 2013, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:02:09+02:00"", ""TimeDimensionValue"": ""2013"", ""TimeDimensionBegin"": ""2013-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2013-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),ZMB,,COUNTRY,2008,1.1,1.1,,,,,,,"{""Id"": 19130, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ZMB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2008, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1.1"", ""NumericValue"": 1.1, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:04:33+02:00"", ""TimeDimensionValue"": ""2008"", ""TimeDimensionBegin"": ""2008-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2008-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),KNA,,COUNTRY,2005,101.8,101.8,,,,,,,"{""Id"": 25235, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""KNA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""TimeDim"": 2005, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""101.8"", ""NumericValue"": 101.8, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:07:21+02:00"", ""TimeDimensionValue"": ""2005"", ""TimeDimensionBegin"": ""2005-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2005-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),LCA,,COUNTRY,2005,0.0,0.0,,,,,,,"{""Id"": 31534, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LCA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""TimeDim"": 2005, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:02:01+02:00"", ""TimeDimensionValue"": ""2005"", ""TimeDimensionBegin"": ""2005-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2005-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),BTN,,COUNTRY,2012,6.7,6.7,,,,,,,"{""Id"": 32031, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BTN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""SEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": null, ""TimeDim"": 2012, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""6.7"", ""NumericValue"": 6.7, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:06:38+02:00"", ""TimeDimensionValue"": ""2012"", ""TimeDimensionBegin"": ""2012-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2012-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),TZA,,COUNTRY,2006,0.4,0.4,,,,,,,"{""Id"": 36713, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TZA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2006, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.4"", ""NumericValue"": 0.4, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:03:06+02:00"", ""TimeDimensionValue"": ""2006"", ""TimeDimensionBegin"": ""2006-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2006-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_cul_5m,TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),MDG,,COUNTRY,2013,0.2,0.2,,,,,,,"{""Id"": 37674, ""IndicatorCode"": ""TB_c_lab_cul_5m"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MDG"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2013, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.2"", ""NumericValue"": 0.2, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:02:33+02:00"", ""TimeDimensionValue"": ""2013"", ""TimeDimensionBegin"": ""2013-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2013-12-31T00:00:00+01:00""}"
