source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),SOM,,COUNTRY,2005,0.5,0.5,,,,,,,"{""Id"": 2421, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SOM"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""TimeDim"": 2005, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.5"", ""NumericValue"": 0.5, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:03:41+02:00"", ""TimeDimensionValue"": ""2005"", ""TimeDimensionBegin"": ""2005-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2005-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),ARM,,COUNTRY,2009,1.9,1.9,,,,,,,"{""Id"": 14335, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2009, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1.9"", ""NumericValue"": 1.9, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:05:25+02:00"", ""TimeDimensionValue"": ""2009"", ""TimeDimensionBegin"": ""2009-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2009-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),SYR,,COUNTRY,2010,2.7,2.7,,,,,,,"{""Id"": 21282, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SYR"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""TimeDim"": 2010, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""2.7"", ""NumericValue"": 2.7, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:05:55+02:00"", ""TimeDimensionValue"": ""2010"", ""TimeDimensionBegin"": ""2010-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2010-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),PRT,,COUNTRY,2013,0.5,0.5,,,,,,,"{""Id"": 25627, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PRT"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2013, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.5"", ""NumericValue"": 0.5, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:03:35+02:00"", ""TimeDimensionValue"": ""2013"", ""TimeDimensionBegin"": ""2013-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2013-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),RWA,,COUNTRY,2010,1.9,1.9,,,,,,,"{""Id"": 27799, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""RWA"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2010, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1.9"", ""NumericValue"": 1.9, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:05:25+02:00"", ""TimeDimensionValue"": ""2010"", ""TimeDimensionBegin"": ""2010-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2010-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),PRT,,COUNTRY,2007,0.6,0.6,,,,,,,"{""Id"": 30465, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PRT"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2007, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.6"", ""NumericValue"": 0.6, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:03:51+02:00"", ""TimeDimensionValue"": ""2007"", ""TimeDimensionBegin"": ""2007-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2007-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),BIH,,COUNTRY,2013,0.4,0.4,,,,,,,"{""Id"": 41414, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BIH"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2013, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.4"", ""NumericValue"": 0.4, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:03:18+02:00"", ""TimeDimensionValue"": ""2013"", ""TimeDimensionBegin"": ""2013-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2013-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),VEN,,COUNTRY,2008,2.0,2.0,,,,,,,"{""Id"": 42554, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""VEN"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""TimeDim"": 2008, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""2.0"", ""NumericValue"": 2.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:05:30+02:00"", ""TimeDimensionValue"": ""2008"", ""TimeDimensionBegin"": ""2008-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2008-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),KAZ,,COUNTRY,2008,2.8,2.8,,,,,,,"{""Id"": 42629, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""KAZ"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2008, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""2.8"", ""NumericValue"": 2.8, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:05:56+02:00"", ""TimeDimensionValue"": ""2008"", ""TimeDimensionBegin"": ""2008-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2008-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),PLW,,COUNTRY,2012,9.6,9.6,,,,,,,"{""Id"": 44659, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PLW"", ""ParentLocationCode"": ""WPR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""TimeDim"": 2012, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""9.6"", ""NumericValue"": 9.6, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:06:52+02:00"", ""TimeDimensionValue"": ""2012"", ""TimeDimensionBegin"": ""2012-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2012-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),IRQ,,COUNTRY,2006,<0.1,,,,,,,,"{""Id"": 48384, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""IRQ"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""TimeDim"": 2006, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""<0.1"", ""NumericValue"": null, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:07:32+02:00"", ""TimeDimensionValue"": ""2006"", ""TimeDimensionBegin"": ""2006-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2006-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),BIH,,COUNTRY,2007,0.4,0.4,,,,,,,"{""Id"": 51126, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BIH"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2007, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.4"", ""NumericValue"": 0.4, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:03:08+02:00"", ""TimeDimensionValue"": ""2007"", ""TimeDimensionBegin"": ""2007-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2007-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),SOM,,COUNTRY,2010,0.7,0.7,,,,,,,"{""Id"": 55102, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SOM"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""TimeDim"": 2010, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.7"", ""NumericValue"": 0.7, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:04:03+02:00"", ""TimeDimensionValue"": ""2010"", ""TimeDimensionBegin"": ""2010-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2010-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),VNM,,COUNTRY,2010,0.9,0.9,,,,,,,"{""Id"": 55861, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""VNM"", ""ParentLocationCode"": ""WPR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""TimeDim"": 2010, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.9"", ""NumericValue"": 0.9, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:04:20+02:00"", ""TimeDimensionValue"": ""2010"", ""TimeDimensionBegin"": ""2010-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2010-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),SDN,,COUNTRY,2014,0.8,0.8,,,,,,,"{""Id"": 566112, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SDN"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""TimeDim"": 2014, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.8"", ""NumericValue"": 0.8, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:04:09+02:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),MDA,,COUNTRY,2007,1.4,1.4,,,,,,,"{""Id"": 569903, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MDA"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2007, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1.4"", ""NumericValue"": 1.4, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:04:56+02:00"", ""TimeDimensionValue"": ""2007"", ""TimeDimensionBegin"": ""2007-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2007-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_lab_sm_100k,TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),EST,,COUNTRY,2007,0.6,0.6,,,,,,,"{""Id"": 574578, ""IndicatorCode"": ""TB_c_lab_sm_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""EST"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2007, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.6"", ""NumericValue"": 0.6, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2015-10-21T13:03:51+02:00"", ""TimeDimensionValue"": ""2007"", ""TimeDimensionBegin"": ""2007-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2007-12-31T00:00:00+01:00""}"
