source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,NGA,,COUNTRY,2020,88.0,88.0,,,,,,,"{""Id"": 3110, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""NGA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""88"", ""NumericValue"": 88.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,WB_UMI,,WORLDBANKINCOMEGROUP,2011,17.0,17.0,,,,,,,"{""Id"": 8503, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""WORLDBANKINCOMEGROUP"", ""SpatialDim"": ""WB_UMI"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": null, ""ParentLocation"": null, ""Dim1Type"": null, ""TimeDim"": 2011, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""17"", ""NumericValue"": 17.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2011"", ""TimeDimensionBegin"": ""2011-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2011-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,NER,,COUNTRY,2020,100.0,100.0,,,,,,,"{""Id"": 16739, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""NER"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""TimeDim"": 2020, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""100"", ""NumericValue"": 100.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,PHL,,COUNTRY,2016,20.0,20.0,,,,,,,"{""Id"": 21114, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PHL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""TimeDim"": 2016, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""20"", ""NumericValue"": 20.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2016"", ""TimeDimensionBegin"": ""2016-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2016-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,THA,,COUNTRY,2014,14.0,14.0,,,,,,,"{""Id"": 21685, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""THA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""SEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": null, ""TimeDim"": 2014, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""14"", ""NumericValue"": 14.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,MAC,,COUNTRY,2015,0.0,0.0,,,,,,,"{""Id"": 24315, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MAC"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": null, ""ParentLocation"": null, ""Dim1Type"": null, ""TimeDim"": 2015, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2015"", ""TimeDimensionBegin"": ""2015-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2015-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,CHN,,COUNTRY,2022,70.0,70.0,,,,,,,"{""Id"": 33373, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CHN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""TimeDim"": 2022, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""70"", ""NumericValue"": 70.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2022"", ""TimeDimensionBegin"": ""2022-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2022-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,MYS,,COUNTRY,2022,80.0,80.0,,,,,,,"{""Id"": 36174, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MYS"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""TimeDim"": 2022, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""80"", ""NumericValue"": 80.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2022"", ""TimeDimensionBegin"": ""2022-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2022-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,MAR,,COUNTRY,2021,63.0,63.0,,,,,,,"{""Id"": 53577, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MAR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EMR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""TimeDim"": 2021, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""63"", ""NumericValue"": 63.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_xdr_tsr,TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,IDN,,COUNTRY,2016,21.0,21.0,,,,,,,"{""Id"": 561549, ""IndicatorCode"": ""TB_c_xdr_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""IDN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""TimeDim"": 2016, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""21"", ""NumericValue"": 21.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2016"", ""TimeDimensionBegin"": ""2016-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2016-12-31T00:00:00+01:00""}"
