source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,COM,,COUNTRY,2024,23.0,23.0,0.0,53.0,,,,,"{""Id"": 1792, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""COM"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""23 [0-53]"", ""NumericValue"": 23.0, ""Low"": 0.0, ""High"": 53.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,CUB,,COUNTRY,2024,21.0,21.0,16.0,27.0,,,,,"{""Id"": 31846, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CUB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""21 [16-27]"", ""NumericValue"": 21.0, ""Low"": 16.0, ""High"": 27.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,ARM,,COUNTRY,2024,30.0,30.0,22.0,38.0,,,,,"{""Id"": 619619, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""30 [22-38]"", ""NumericValue"": 30.0, ""Low"": 22.0, ""High"": 38.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,ARG,,COUNTRY,2024,1700.0,1700.0,1200.0,2200.0,,,,,"{""Id"": 640016, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARG"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1700 [1200-2200]"", ""NumericValue"": 1700.0, ""Low"": 1200.0, ""High"": 2200.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,LTU,,COUNTRY,2024,22.0,22.0,17.0,27.0,,,,,"{""Id"": 682116, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LTU"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""22 [17-27]"", ""NumericValue"": 22.0, ""Low"": 17.0, ""High"": 27.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,RUS,,COUNTRY,2024,1500.0,1500.0,530.0,2500.0,,,,,"{""Id"": 745520, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""RUS"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1500 [530-2500]"", ""NumericValue"": 1500.0, ""Low"": 530.0, ""High"": 2500.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,CMR,,COUNTRY,2024,4300.0,4300.0,0.0,9200.0,,,,,"{""Id"": 751029, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CMR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""4300 [0-9200]"", ""NumericValue"": 4300.0, ""Low"": 0.0, ""High"": 9200.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,BGR,,COUNTRY,2024,19.0,19.0,14.0,25.0,,,,,"{""Id"": 753344, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BGR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""19 [14-25]"", ""NumericValue"": 19.0, ""Low"": 14.0, ""High"": 25.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,GEO,,COUNTRY,2024,120.0,120.0,87.0,160.0,,,,,"{""Id"": 830558, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GEO"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""120 [87-160]"", ""NumericValue"": 120.0, ""Low"": 87.0, ""High"": 160.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_num_014,TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,FIN,,COUNTRY,2024,8.0,8.0,5.0,11.0,,,,,"{""Id"": 896001, ""IndicatorCode"": ""TB_e_inc_num_014"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""FIN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""8 [5-11]"", ""NumericValue"": 8.0, ""Low"": 5.0, ""High"": 11.0, ""Comments"": null, ""Date"": ""2025-11-11T15:08:09.963+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
