source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),MEX,,COUNTRY,2004,0.84,0.84,0.31,1.6,,,,,"{""Id"": 1939, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MEX"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""TimeDim"": 2004, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.84 [0.31-1.6]"", ""NumericValue"": 0.84, ""Low"": 0.31, ""High"": 1.6, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2004"", ""TimeDimensionBegin"": ""2004-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2004-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),PSE,,COUNTRY,2014,0.0,0.0,0.0,0.05,,,,,"{""Id"": 7322, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PSE"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""TimeDim"": 2014, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0 [0-0.05]"", ""NumericValue"": 0.0, ""Low"": 0.0, ""High"": 0.05, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),KWT,,COUNTRY,2014,0.07,0.07,0.03,0.14,,,,,"{""Id"": 7428, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""KWT"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""TimeDim"": 2014, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.07 [0.03-0.14]"", ""NumericValue"": 0.07, ""Low"": 0.03, ""High"": 0.14, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),HTI,,COUNTRY,2015,32.0,32.0,24.0,40.0,,,,,"{""Id"": 11601, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""HTI"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""TimeDim"": 2015, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""32 [24-40]"", ""NumericValue"": 32.0, ""Low"": 24.0, ""High"": 40.0, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2015"", ""TimeDimensionBegin"": ""2015-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2015-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),DEU,,COUNTRY,2013,0.15,0.15,0.08,0.24,,,,,"{""Id"": 13570, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""DEU"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2013, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.15 [0.08-0.24]"", ""NumericValue"": 0.15, ""Low"": 0.08, ""High"": 0.24, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2013"", ""TimeDimensionBegin"": ""2013-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2013-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),ISL,,COUNTRY,2008,0.44,0.44,0.03,1.4,,,,,"{""Id"": 14408, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ISL"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""TimeDim"": 2008, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.44 [0.03-1.4]"", ""NumericValue"": 0.44, ""Low"": 0.03, ""High"": 1.4, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2008"", ""TimeDimensionBegin"": ""2008-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2008-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),AFG,,COUNTRY,2018,0.05,0.05,0.0,0.19,,,,,"{""Id"": 16397, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""AFG"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""TimeDim"": 2018, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.05 [0-0.19]"", ""NumericValue"": 0.05, ""Low"": 0.0, ""High"": 0.19, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2018"", ""TimeDimensionBegin"": ""2018-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2018-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),WB_LMI,,WORLDBANKINCOMEGROUP,2022,8.7,8.7,7.8,9.8,,,,,"{""Id"": 17442, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""WORLDBANKINCOMEGROUP"", ""SpatialDim"": ""WB_LMI"", ""ParentLocationCode"": null, ""TimeDimType"": ""YEAR"", ""ParentLocation"": null, ""Dim1Type"": null, ""TimeDim"": 2022, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""8.7 [7.8-9.8]"", ""NumericValue"": 8.7, ""Low"": 7.8, ""High"": 9.8, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2022"", ""TimeDimensionBegin"": ""2022-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2022-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),JPN,,COUNTRY,2001,0.35,0.35,0.12,0.7,,,,,"{""Id"": 17767, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""JPN"", ""ParentLocationCode"": ""WPR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""TimeDim"": 2001, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.35 [0.12-0.7]"", ""NumericValue"": 0.35, ""Low"": 0.12, ""High"": 0.7, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2001"", ""TimeDimensionBegin"": ""2001-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2001-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_inc_tbhiv_100k,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),WB_HI,,WORLDBANKINCOMEGROUP,2012,1.3,1.3,0.6,2.3,,,,,"{""Id"": 20794, ""IndicatorCode"": ""TB_e_inc_tbhiv_100k"", ""SpatialDimType"": ""WORLDBANKINCOMEGROUP"", ""SpatialDim"": ""WB_HI"", ""ParentLocationCode"": null, ""TimeDimType"": ""YEAR"", ""ParentLocation"": null, ""Dim1Type"": null, ""TimeDim"": 2012, ""Dim1"": null, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1.3 [0.6-2.3]"", ""NumericValue"": 1.3, ""Low"": 0.6, ""High"": 2.3, ""Comments"": null, ""Date"": ""2024-10-28T17:07:03.867+01:00"", ""TimeDimensionValue"": ""2012"", ""TimeDimensionBegin"": ""2012-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2012-12-31T00:00:00+01:00""}"
