source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",CPV,,COUNTRY,2011,32.0,32.0,28.0,37.0,,,,,"{""Id"": 297, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CPV"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2011, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""32 [28-37]"", ""NumericValue"": 32.0, ""Low"": 28.0, ""High"": 37.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2011"", ""TimeDimensionBegin"": ""2011-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2011-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",WPR,,REGION,2004,281000.0,281000.0,262000.0,300000.0,,,,,"{""Id"": 4804, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""REGION"", ""SpatialDim"": ""WPR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": null, ""ParentLocation"": null, ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2004, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""281 000 [262 000-300 000]"", ""NumericValue"": 281000.0, ""Low"": 262000.0, ""High"": 300000.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2004"", ""TimeDimensionBegin"": ""2004-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2004-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",UKR,,COUNTRY,2009,8600.0,8600.0,8500.0,8800.0,,,,,"{""Id"": 5324, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""UKR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2009, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""8600 [8500-8800]"", ""NumericValue"": 8600.0, ""Low"": 8500.0, ""High"": 8800.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2009"", ""TimeDimensionBegin"": ""2009-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2009-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",FRA,,COUNTRY,2003,1000.0,1000.0,970.0,1000.0,,,,,"{""Id"": 11096, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""FRA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2003, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1000 [970-1000]"", ""NumericValue"": 1000.0, ""Low"": 970.0, ""High"": 1000.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2003"", ""TimeDimensionBegin"": ""2003-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2003-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",ARM,,COUNTRY,2023,27.0,27.0,22.0,34.0,,,,,"{""Id"": 13140, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""27 [22-34]"", ""NumericValue"": 27.0, ""Low"": 22.0, ""High"": 34.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",CUB,,COUNTRY,2010,45.0,45.0,45.0,45.0,,,,,"{""Id"": 15131, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CUB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2010, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""45 [45-45]"", ""NumericValue"": 45.0, ""Low"": 45.0, ""High"": 45.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2010"", ""TimeDimensionBegin"": ""2010-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2010-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",CHL,,COUNTRY,2010,550.0,550.0,540.0,560.0,,,,,"{""Id"": 15539, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CHL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2010, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""550 [540-560]"", ""NumericValue"": 550.0, ""Low"": 540.0, ""High"": 560.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2010"", ""TimeDimensionBegin"": ""2010-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2010-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",GAB,,COUNTRY,2009,1000.0,1000.0,600.0,1600.0,,,,,"{""Id"": 18372, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GAB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2009, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1000 [600-1600]"", ""NumericValue"": 1000.0, ""Low"": 600.0, ""High"": 1600.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2009"", ""TimeDimensionBegin"": ""2009-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2009-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",GNQ,,COUNTRY,2000,440.0,440.0,150.0,880.0,,,,,"{""Id"": 19599, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GNQ"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2000, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""440 [150-880]"", ""NumericValue"": 440.0, ""Low"": 150.0, ""High"": 880.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2000"", ""TimeDimensionBegin"": ""2000-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2000-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_e_mort_exc_tbhiv_num,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",SGP,,COUNTRY,2023,23.0,23.0,22.0,24.0,,,,,"{""Id"": 19743, ""IndicatorCode"": ""TB_e_mort_exc_tbhiv_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""SGP"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""23 [22-24]"", ""NumericValue"": 23.0, ""Low"": 22.0, ""High"": 24.0, ""Comments"": null, ""Date"": ""2025-11-11T14:30:16.68+01:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
