source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),MUS,,COUNTRY,2011,93.0,93.0,,,,,,,"{""Id"": 1820, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MUS"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2011, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""93"", ""NumericValue"": 93.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2011"", ""TimeDimensionBegin"": ""2011-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2011-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),BEN,,COUNTRY,2013,94.0,94.0,,,,,,,"{""Id"": 2598, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BEN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2013, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""94"", ""NumericValue"": 94.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2013"", ""TimeDimensionBegin"": ""2013-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2013-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),BEL,,COUNTRY,2022,52.0,52.0,,,,,,,"{""Id"": 3502, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BEL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2022, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""52"", ""NumericValue"": 52.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2022"", ""TimeDimensionBegin"": ""2022-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2022-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),BHS,,COUNTRY,2019,86.0,86.0,,,,,,,"{""Id"": 3722, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BHS"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""86"", ""NumericValue"": 86.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),PAN,,COUNTRY,2003,34.0,34.0,,,,,,,"{""Id"": 4220, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PAN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2003, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""34"", ""NumericValue"": 34.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2003"", ""TimeDimensionBegin"": ""2003-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2003-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),BTN,,COUNTRY,2009,12.0,12.0,,,,,,,"{""Id"": 4403, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BTN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""SEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2009, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""12"", ""NumericValue"": 12.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2009"", ""TimeDimensionBegin"": ""2009-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2009-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),GTM,,COUNTRY,2024,99.0,99.0,,,,,,,"{""Id"": 5016, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GTM"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2024, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""99"", ""NumericValue"": 99.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2024"", ""TimeDimensionBegin"": ""2024-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2024-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),ALB,,COUNTRY,2023,94.0,94.0,,,,,,,"{""Id"": 9182, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ALB"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""94"", ""NumericValue"": 94.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),LSO,,COUNTRY,2006,11.0,11.0,,,,,,,"{""Id"": 9821, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LSO"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2006, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""11"", ""NumericValue"": 11.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2006"", ""TimeDimensionBegin"": ""2006-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2006-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pct,TB_hivtest_pct,TB patients with known HIV status (%),WB_LMI,,WORLDBANKINCOMEGROUP,2008,16.0,16.0,,,,,,,"{""Id"": 11495, ""IndicatorCode"": ""TB_hivtest_pct"", ""SpatialDimType"": ""WORLDBANKINCOMEGROUP"", ""SpatialDim"": ""WB_LMI"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": null, ""ParentLocation"": null, ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2008, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""16"", ""NumericValue"": 16.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2008"", ""TimeDimensionBegin"": ""2008-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2008-12-31T00:00:00+01:00""}"
