source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),CAF,,COUNTRY,2016,30.0,30.0,,,,,,,"{""Id"": 1902, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CAF"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2016, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""30"", ""NumericValue"": 30.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2016"", ""TimeDimensionBegin"": ""2016-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2016-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),CMR,,COUNTRY,2007,45.0,45.0,,,,,,,"{""Id"": 7641, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CMR"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2007, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""45"", ""NumericValue"": 45.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2007"", ""TimeDimensionBegin"": ""2007-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2007-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),KWT,,COUNTRY,2014,0.25,0.25,,,,,,,"{""Id"": 7761, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""KWT"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.25"", ""NumericValue"": 0.25, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),BOL,,COUNTRY,2016,4.0,4.0,,,,,,,"{""Id"": 10049, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BOL"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2016, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""4"", ""NumericValue"": 4.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2016"", ""TimeDimensionBegin"": ""2016-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2016-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),GLOBAL,,GLOBAL,2016,13.0,13.0,,,,,,,"{""Id"": 13146, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""GLOBAL"", ""SpatialDim"": ""GLOBAL"", ""ParentLocationCode"": null, ""TimeDimType"": ""YEAR"", ""ParentLocation"": null, ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2016, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""13"", ""NumericValue"": 13.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2016"", ""TimeDimensionBegin"": ""2016-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2016-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),WB_UMI,,WORLDBANKINCOMEGROUP,2007,28.0,28.0,,,,,,,"{""Id"": 13607, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""WORLDBANKINCOMEGROUP"", ""SpatialDim"": ""WB_UMI"", ""ParentLocationCode"": null, ""TimeDimType"": ""YEAR"", ""ParentLocation"": null, ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2007, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""28"", ""NumericValue"": 28.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2007"", ""TimeDimensionBegin"": ""2007-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2007-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),BOL,,COUNTRY,2010,6.9,6.9,,,,,,,"{""Id"": 18297, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BOL"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2010, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""6.9"", ""NumericValue"": 6.9, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2010"", ""TimeDimensionBegin"": ""2010-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2010-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),CMR,,COUNTRY,2022,18.0,18.0,,,,,,,"{""Id"": 20007, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CMR"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2022, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""18"", ""NumericValue"": 18.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2022"", ""TimeDimensionBegin"": ""2022-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2022-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),CUB,,COUNTRY,2016,9.7,9.7,,,,,,,"{""Id"": 23446, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CUB"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2016, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""9.7"", ""NumericValue"": 9.7, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2016"", ""TimeDimensionBegin"": ""2016-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2016-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_hivtest_pos_pct,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),NGA,,COUNTRY,2003,0.92,0.92,,,,,,,"{""Id"": 26622, ""IndicatorCode"": ""TB_hivtest_pos_pct"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""NGA"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2003, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0.92"", ""NumericValue"": 0.92, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:58:56.803+01:00"", ""TimeDimensionValue"": ""2003"", ""TimeDimensionBegin"": ""2003-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2003-12-31T00:00:00+01:00""}"
