source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,OMN,,COUNTRY,2015,219.0,219.0,,,,,,,"{""Id"": 6821, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""OMN"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EMR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2015, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""219"", ""NumericValue"": 219.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2015"", ""TimeDimensionBegin"": ""2015-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2015-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,BMU,,COUNTRY,2013,0.0,0.0,,,,,,,"{""Id"": 6997, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BMU"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2013, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2013"", ""TimeDimensionBegin"": ""2013-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2013-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,BLZ,,COUNTRY,2005,59.0,59.0,,,,,,,"{""Id"": 7581, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BLZ"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2005, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""59"", ""NumericValue"": 59.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2005"", ""TimeDimensionBegin"": ""2005-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2005-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,URY,,COUNTRY,2019,749.0,749.0,,,,,,,"{""Id"": 10350, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""URY"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""749"", ""NumericValue"": 749.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,PYF,,COUNTRY,2003,21.0,21.0,,,,,,,"{""Id"": 10416, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PYF"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2003, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""21"", ""NumericValue"": 21.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2003"", ""TimeDimensionBegin"": ""2003-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2003-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,MYS,,COUNTRY,2017,15888.0,15888.0,,,,,,,"{""Id"": 10898, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MYS"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""WPR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2017, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""15 888"", ""NumericValue"": 15888.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,ISL,,COUNTRY,2020,5.0,5.0,,,,,,,"{""Id"": 14682, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ISL"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""EUR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""5"", ""NumericValue"": 5.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,CYM,,COUNTRY,2007,1.0,1.0,,,,,,,"{""Id"": 15408, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CYM"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AMR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2007, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""1"", ""NumericValue"": 1.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2007"", ""TimeDimensionBegin"": ""2007-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2007-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,LKA,,COUNTRY,2008,4683.0,4683.0,,,,,,,"{""Id"": 22017, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LKA"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""SEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2008, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""4683"", ""NumericValue"": 4683.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2008"", ""TimeDimensionBegin"": ""2008-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2008-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_notif_num_labconf,TB_notif_num_labconf,Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed.,CMR,,COUNTRY,2020,14633.0,14633.0,,,,,,,"{""Id"": 23921, ""IndicatorCode"": ""TB_notif_num_labconf"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CMR"", ""TimeDimType"": ""YEAR"", ""ParentLocationCode"": ""AFR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""TB_CASETYPE"", ""Dim1"": ""TB_CASETYPE_TB_CASETYPE_BCPTB"", ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""14 633"", ""NumericValue"": 14633.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
