source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,NRU,,COUNTRY,2017,0.0,0.0,,,,,,,"{""Id"": 2341, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""NRU"", ""ParentLocationCode"": ""WPR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_NEW"", ""TimeDim"": 2017, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,BLR,,COUNTRY,2021,499.0,499.0,,,,,,,"{""Id"": 6352, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BLR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_RETREATED"", ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""499"", ""NumericValue"": 499.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,TTO,,COUNTRY,2020,10.0,10.0,,,,,,,"{""Id"": 10944, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TTO"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_RETREATED"", ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""10"", ""NumericValue"": 10.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,TON,,COUNTRY,2021,0.0,0.0,,,,,,,"{""Id"": 14388, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TON"", ""ParentLocationCode"": ""WPR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_RETREATED"", ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,GRL,,COUNTRY,2018,5.0,5.0,,,,,,,"{""Id"": 27538, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GRL"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_RETREATED"", ""TimeDim"": 2018, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""5"", ""NumericValue"": 5.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2018"", ""TimeDimensionBegin"": ""2018-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2018-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,URY,,COUNTRY,2017,474.0,474.0,,,,,,,"{""Id"": 32697, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""URY"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_NEW"", ""TimeDim"": 2017, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""474"", ""NumericValue"": 474.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,GUM,,COUNTRY,2021,2.0,2.0,,,,,,,"{""Id"": 47312, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GUM"", ""ParentLocationCode"": ""WPR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Western Pacific"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_RETREATED"", ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""2"", ""NumericValue"": 2.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,TUR,,COUNTRY,2020,297.0,297.0,,,,,,,"{""Id"": 48993, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TUR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_RETREATED"", ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""297"", ""NumericValue"": 297.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,TCD,,COUNTRY,2017,360.0,360.0,,,,,,,"{""Id"": 54808, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TCD"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_RETREATED"", ""TimeDim"": 2017, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""360"", ""NumericValue"": 360.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_rdst_num,TB_rdst_num,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients.,ZMB,,COUNTRY,2021,16922.0,16922.0,,,,,,,"{""Id"": 55604, ""IndicatorCode"": ""TB_rdst_num"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ZMB"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": ""TB_TREATHISTORY"", ""Dim1"": ""TB_TREATHISTORY_TB_TREATHISTORY_NEW"", ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""16 922"", ""NumericValue"": 16922.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2024-05-06T09:56:42.727+02:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
