location_code,location,year,population,urban_population_ratio,gdp_per_capita,source,collected_at
ABW,Aruba,2020,108587,62.0028837566365,22664.3709949437,World Bank,2026-07-10T05:20:25.913489+00:00
ABW,Aruba,2021,107700,61.9275339886843,26827.3447869986,World Bank,2026-07-10T05:20:25.913489+00:00
ABW,Aruba,2022,107310,61.8811657924257,31000.5713798732,World Bank,2026-07-10T05:20:25.913489+00:00
ABW,Aruba,2023,107359,61.8351492675589,34897.6183932009,World Bank,2026-07-10T05:20:25.913489+00:00
ABW,Aruba,2024,107995,61.7909396819594,38590.5650288641,World Bank,2026-07-10T05:20:25.913489+00:00
ABW,Aruba,2025,108785,61.7485249229588,,World Bank,2026-07-10T05:20:25.913489+00:00
AFE,Africa Eastern and Southern,2020,694446100,36.4883219609866,1351.50316694933,World Bank,2026-07-10T05:20:25.913489+00:00
AFE,Africa Eastern and Southern,2021,713090928,36.9085426088518,1560.89462580275,World Bank,2026-07-10T05:20:25.913489+00:00
AFE,Africa Eastern and Southern,2022,731821393,37.3605781096471,1675.90252377611,World Bank,2026-07-10T05:20:25.913489+00:00
AFE,Africa Eastern and Southern,2023,750491370,37.7723012408349,1571.13270407815,World Bank,2026-07-10T05:20:25.913489+00:00
AFE,Africa Eastern and Southern,2024,769280888,38.2414414289603,1628.22728900442,World Bank,2026-07-10T05:20:25.913489+00:00
AFE,Africa Eastern and Southern,2025,788844284,38.7021396558821,1722.38561960923,World Bank,2026-07-10T05:20:25.913489+00:00
AFG,Afghanistan,2020,39068979,25.2622103446137,510.787063366811,World Bank,2026-07-10T05:20:25.913489+00:00
AFG,Afghanistan,2021,40000412,25.3478620272481,356.496214115892,World Bank,2026-07-10T05:20:25.913489+00:00
AFG,Afghanistan,2022,40578842,25.3939250580909,357.261152798144,World Bank,2026-07-10T05:20:25.913489+00:00
AFG,Afghanistan,2023,41454761,25.4730529631167,413.757894705303,World Bank,2026-07-10T05:20:25.913489+00:00
AFG,Afghanistan,2024,42647492,25.7007352636188,416.871146273728,World Bank,2026-07-10T05:20:25.913489+00:00
AFG,Afghanistan,2025,43844111,25.9401644699898,,World Bank,2026-07-10T05:20:25.913489+00:00
AFW,Africa Western and Central,2020,473687685,50.4923214842153,2034.43793971923,World Bank,2026-07-10T05:20:25.913489+00:00
AFW,Africa Western and Central,2021,484978794,51.0894191806819,2116.9382941844,World Bank,2026-07-10T05:20:25.913489+00:00
AFW,Africa Western and Central,2022,496366058,51.7001028474527,2143.07209365676,World Bank,2026-07-10T05:20:25.913489+00:00
AFW,Africa Western and Central,2023,508318102,52.3021093132307,1846.24681069313,World Bank,2026-07-10T05:20:25.913489+00:00
AFW,Africa Western and Central,2024,520655398,52.8788239433226,1416.22841156776,World Bank,2026-07-10T05:20:25.913489+00:00
AFW,Africa Western and Central,2025,532809933,53.4772052295821,1600.05837434388,World Bank,2026-07-10T05:20:25.913489+00:00
AGO,Angola,2020,33451132,67.4568270208187,1749.1794838482,World Bank,2026-07-10T05:20:25.913489+00:00
AGO,Angola,2021,34532429,68.2524163556969,2266.96834861584,World Bank,2026-07-10T05:20:25.913489+00:00
AGO,Angola,2022,35635029,69.0506188977513,3598.53669077341,World Bank,2026-07-10T05:20:25.913489+00:00
AGO,Angola,2023,36749906,69.8515032220457,2885.51349130806,World Bank,2026-07-10T05:20:25.913489+00:00
AGO,Angola,2024,37885849,70.6551379036435,2720.81900669715,World Bank,2026-07-10T05:20:25.913489+00:00
AGO,Angola,2025,39040039,71.4615915176085,3129.47662331063,World Bank,2026-07-10T05:20:25.913489+00:00
ALB,Albania,2020,2528480,57.1408592155544,6027.91350716348,World Bank,2026-07-10T05:20:25.913489+00:00
ALB,Albania,2021,2489762,57.5077187031778,7242.45513146613,World Bank,2026-07-10T05:20:25.913489+00:00
ALB,Albania,2022,2451636,57.8643477747383,7756.96188744253,World Bank,2026-07-10T05:20:25.913489+00:00
ALB,Albania,2023,2411658,58.2106086137857,9740.7023414631,World Bank,2026-07-10T05:20:25.913489+00:00
ALB,Albania,2024,2377128,58.5463634043555,11374.0085781236,World Bank,2026-07-10T05:20:25.913489+00:00
ALB,Albania,2025,2349580,58.871474331067,12998.147869552,World Bank,2026-07-10T05:20:25.913489+00:00
AND,Andorra,2020,77380,88.5907780427517,37361.090067211,World Bank,2026-07-10T05:20:25.913489+00:00
AND,Andorra,2021,78364,88.6627318165299,42425.6996761083,World Bank,2026-07-10T05:20:25.913489+00:00
AND,Andorra,2022,79705,88.7548766267286,42414.0590111349,World Bank,2026-07-10T05:20:25.913489+00:00
AND,Andorra,2023,80856,88.8201609217082,46812.448450114,World Bank,2026-07-10T05:20:25.913489+00:00
AND,Andorra,2024,81938,88.8850044816278,49357.437070178,World Bank,2026-07-10T05:20:25.913489+00:00
AND,Andorra,2025,82904,88.9492672283129,54291.5026031052,World Bank,2026-07-10T05:20:25.913489+00:00
ARB,Arab World,2020,453723239,59.0899689866908,5749.75163256627,World Bank,2026-07-10T05:20:25.913489+00:00
ARB,Arab World,2021,460646603,59.112484714184,6708.20761928893,World Bank,2026-07-10T05:20:25.913489+00:00
ARB,Arab World,2022,471352066,59.3339325148117,7960.81158770821,World Bank,2026-07-10T05:20:25.913489+00:00
ARB,Arab World,2023,482105978,59.569940800309,7504.35637695627,World Bank,2026-07-10T05:20:25.913489+00:00
ARB,Arab World,2024,492612632,59.8198752449274,7602.41115691284,World Bank,2026-07-10T05:20:25.913489+00:00
ARB,Arab World,2025,503356133,60.0362191816888,7544.41435641482,World Bank,2026-07-10T05:20:25.913489+00:00
ARE,United Arab Emirates,2020,9401038,85.1955255681984,37991.738387966,World Bank,2026-07-10T05:20:25.915715+00:00
ARE,United Arab Emirates,2021,9575152,85.3571908511355,44118.4936214315,World Bank,2026-07-10T05:20:25.915715+00:00
ARE,United Arab Emirates,2022,10074977,85.5147347682487,50759.7590190204,World Bank,2026-07-10T05:20:25.915715+00:00
ARE,United Arab Emirates,2023,10483751,85.6680699002526,49850.6945082084,World Bank,2026-07-10T05:20:25.915715+00:00
ARE,United Arab Emirates,2024,10986400,85.8171088279791,50273.5126243239,World Bank,2026-07-10T05:20:25.915715+00:00
ARE,United Arab Emirates,2025,11513149,85.9617641324017,,World Bank,2026-07-10T05:20:25.915715+00:00
ARG,Argentina,2020,45191965,91.9439026594897,8535.59938004389,World Bank,2026-07-10T05:20:25.913489+00:00
ARG,Argentina,2021,45312281,92.0292776175651,10738.0179223384,World Bank,2026-07-10T05:20:25.913489+00:00
ARG,Argentina,2022,45407904,92.112838186126,13962.1894087223,World Bank,2026-07-10T05:20:25.913489+00:00
ARG,Argentina,2023,45538401,92.1945132257907,14261.8465667948,World Bank,2026-07-10T05:20:25.913489+00:00
ARG,Argentina,2024,45696159,92.2742315972952,13969.7836603737,World Bank,2026-07-10T05:20:25.913489+00:00
ARG,Argentina,2025,45851378,92.3519221615173,14898.0885943842,World Bank,2026-07-10T05:20:25.913489+00:00
ARM,Armenia,2020,2961500,65.174217253699,4268.68093304583,World Bank,2026-07-10T05:20:25.913489+00:00
ARM,Armenia,2021,2962300,65.3572875314441,4685.17997128509,World Bank,2026-07-10T05:20:25.913489+00:00
ARM,Armenia,2022,2969200,65.5624462874485,6571.97445545099,World Bank,2026-07-10T05:20:25.913489+00:00
ARM,Armenia,2023,2964300,65.6956882008852,8159.08720967996,World Bank,2026-07-10T05:20:25.913489+00:00
ARM,Armenia,2024,3033500,65.8113671449901,8556.21406956719,World Bank,2026-07-10T05:20:25.913489+00:00
ARM,Armenia,2025,3086700,65.9287015589872,9474.01849300368,World Bank,2026-07-10T05:20:25.913489+00:00
ASM,American Samoa,2020,49761,82.6240780620716,14489.2586563775,World Bank,2026-07-10T05:20:25.913489+00:00
ASM,American Samoa,2021,49225,82.2127091544092,15236.1604875571,World Bank,2026-07-10T05:20:25.913489+00:00
ASM,American Samoa,2022,48342,81.794797704649,18017.4589383973,World Bank,2026-07-10T05:20:25.913489+00:00
ASM,American Samoa,2023,47521,81.3721542708222,,World Bank,2026-07-10T05:20:25.913489+00:00
ASM,American Samoa,2024,46765,80.9446986961818,,World Bank,2026-07-10T05:20:25.913489+00:00
ASM,American Samoa,2025,46029,80.5123508239818,,World Bank,2026-07-10T05:20:25.913489+00:00
ATG,Antigua and Barbuda,2020,91846,24.6406156275043,15369.6082250401,World Bank,2026-07-10T05:20:25.913489+00:00
ATG,Antigua and Barbuda,2021,92349,24.574983819566,17348.6006987182,World Bank,2026-07-10T05:20:25.913489+00:00
ATG,Antigua and Barbuda,2022,92840,24.5114484000414,20003.3909394099,World Bank,2026-07-10T05:20:25.913489+00:00
ATG,Antigua and Barbuda,2023,93316,24.4500156687422,22012.2625947994,World Bank,2026-07-10T05:20:25.913489+00:00
ATG,Antigua and Barbuda,2024,93772,24.3906919254799,23059.8330702839,World Bank,2026-07-10T05:20:25.913489+00:00
ATG,Antigua and Barbuda,2025,94209,24.3334834700661,24819.2454680158,World Bank,2026-07-10T05:20:25.913489+00:00
AUS,Australia,2020,25649248,87.2713470458985,51983.4523666382,World Bank,2026-07-10T05:20:25.913489+00:00
AUS,Australia,2021,25685412,87.2353407632761,60758.9044397144,World Bank,2026-07-10T05:20:25.913489+00:00
AUS,Australia,2022,26018721,87.3343268253813,65169.5191118657,World Bank,2026-07-10T05:20:25.913489+00:00
AUS,Australia,2023,26659922,87.4866955653765,65058.3773146674,World Bank,2026-07-10T05:20:25.913489+00:00
AUS,Australia,2024,27194286,87.6021469990446,64609.9865116088,World Bank,2026-07-10T05:20:25.913489+00:00
AUS,Australia,2025,27614411,87.7192672666333,65129.7227990563,World Bank,2026-07-10T05:20:25.913489+00:00
AUT,Austria,2020,8916864,68.5410177924001,48716.4098900349,World Bank,2026-07-10T05:20:25.914609+00:00
AUT,Austria,2021,8955797,68.773601700253,53648.6437976214,World Bank,2026-07-10T05:20:25.914609+00:00
AUT,Austria,2022,9041851,68.998085127906,52336.7725223758,World Bank,2026-07-10T05:20:25.913489+00:00
AUT,Austria,2023,9131761,69.2265358276021,56579.504175468,World Bank,2026-07-10T05:20:25.913489+00:00
AUT,Austria,2024,9177982,69.4658181096788,58268.8787651601,World Bank,2026-07-10T05:20:25.913489+00:00
AUT,Austria,2025,9208163,69.7152152366353,62930.0351324599,World Bank,2026-07-10T05:20:25.913489+00:00
AZE,Azerbaijan,2020,10093121,58.2934691761937,4229.91064904503,World Bank,2026-07-10T05:20:25.914609+00:00
AZE,Azerbaijan,2021,10137750,58.3659969744818,5408.04535175023,World Bank,2026-07-10T05:20:25.914609+00:00
AZE,Azerbaijan,2022,10141756,58.4382815854684,7770.594223351,World Bank,2026-07-10T05:20:25.914609+00:00
AZE,Azerbaijan,2023,10153958,58.5075350483702,7133.02838048328,World Bank,2026-07-10T05:20:25.914609+00:00
AZE,Azerbaijan,2024,10202830,58.573795837717,7294.64276088105,World Bank,2026-07-10T05:20:25.914609+00:00
AZE,Azerbaijan,2025,10246996,58.6371024281175,7410.72281660142,World Bank,2026-07-10T05:20:25.914609+00:00
BDI,Burundi,2020,12617036,19.9309984273971,252.702452750006,World Bank,2026-07-10T05:20:25.914609+00:00
BDI,Burundi,2021,12965481,21.1108861865354,264.172844085398,World Bank,2026-07-10T05:20:25.914609+00:00
BDI,Burundi,2022,13321097,22.3202446002597,301.832255755105,World Bank,2026-07-10T05:20:25.914609+00:00
BDI,Burundi,2023,13689450,23.5534768372276,249.795164039029,World Bank,2026-07-10T05:20:25.914609+00:00
BDI,Burundi,2024,14047786,24.8302838651025,216.231928531758,World Bank,2026-07-10T05:20:25.914609+00:00
BDI,Burundi,2025,14390003,25.6870184681663,233.823013385395,World Bank,2026-07-10T05:20:25.914609+00:00
BEL,Belgium,2020,11538604,87.2964994991269,45906.2875805246,World Bank,2026-07-10T05:20:25.914609+00:00
BEL,Belgium,2021,11586195,87.4305564090635,51658.238294958,World Bank,2026-07-10T05:20:25.914609+00:00
BEL,Belgium,2022,11680210,87.489200269855,50639.0264882739,World Bank,2026-07-10T05:20:25.914609+00:00
BEL,Belgium,2023,11779946,87.551492636772,55244.68145811,World Bank,2026-07-10T05:20:25.914609+00:00
BEL,Belgium,2024,11858610,87.6126557010527,56581.9375642531,World Bank,2026-07-10T05:20:25.914609+00:00
BEL,Belgium,2025,11941781,87.6726083114649,60750.2735864647,World Bank,2026-07-10T05:20:25.914609+00:00
BEN,Benin,2020,13070169,49.4461567219896,1200.19426557789,World Bank,2026-07-10T05:20:25.914609+00:00
BEN,Benin,2021,13413417,50.1961807561354,1318.65158075198,World Bank,2026-07-10T05:20:25.914609+00:00
BEN,Benin,2022,13759501,50.9627000010887,1266.42711031904,World Bank,2026-07-10T05:20:25.914609+00:00
BEN,Benin,2023,14111034,51.7457922964593,1394.17784721831,World Bank,2026-07-10T05:20:25.914609+00:00
BEN,Benin,2024,14462724,52.5455354818423,1485.38018885134,World Bank,2026-07-10T05:20:25.914609+00:00
BEN,Benin,2025,14814460,53.3620073968188,1658.27312662991,World Bank,2026-07-10T05:20:25.914609+00:00
BFA,Burkina Faso,2020,21478690,26.3578373628627,825.237038782475,World Bank,2026-07-10T05:20:25.914609+00:00
BFA,Burkina Faso,2021,21995243,26.8114307743017,895.535288442991,World Bank,2026-07-10T05:20:25.914609+00:00
BFA,Burkina Faso,2022,22509038,27.2791369742712,827.330843486661,World Bank,2026-07-10T05:20:25.914609+00:00
BFA,Burkina Faso,2023,23025776,27.7872478365158,873.198061670247,World Bank,2026-07-10T05:20:25.914609+00:00
BFA,Burkina Faso,2024,23548781,28.3352514896662,982.493100418428,World Bank,2026-07-10T05:20:25.914609+00:00
BFA,Burkina Faso,2025,24074580,28.9226360719085,1147.57131635601,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2020,166298024,31.1168927321524,2248.85078828233,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2021,167658854,31.3992156886061,2482.84917843357,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2022,169384897,31.673734726234,2716.48592780431,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2023,171466990,32.1578465036834,2551.01773827307,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2024,173562364,32.6783196323307,2593.41611680774,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2025,175686899,33.2395847043975,2597.34352335275,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2020,6550696,73.3239898681641,10760.7616180234,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2021,6507301,73.346765618041,12966.8085197381,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2022,6465097,73.4799164005224,13999.9113358453,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2023,6446596,73.7322671584613,15854.0192893772,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2024,6441421,73.9499356882481,17596.9167621233,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2025,6433302,74.1727501848475,20328.1667065538,World Bank,2026-07-10T05:20:25.914609+00:00
BHR,Bahrain,2020,1472204,100,24342.8444554718,World Bank,2026-07-10T05:20:25.914609+00:00
