location_code,location,year,population,population_is_interpolated,urban_population_ratio,gdp_per_capita,density_per_km2,growth_rate,source
AUS,Australia,1970,12595034.0,False,,,3.4032,1.0099,Kaggle World Population
AUS,Australia,1971,12806162.8,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1972,13017291.6,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1973,13228420.4,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1974,13439549.2,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1975,13650678.0,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1976,13861806.8,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1977,14072935.6,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1978,14284064.4,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1979,14495193.2,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1980,14706322.0,False,,,3.4032,1.0099,Kaggle World Population
AUS,Australia,1981,14940490.1,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1982,15174658.2,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1983,15408826.3,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1984,15642994.4,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1985,15877162.5,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1986,16111330.6,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1987,16345498.7,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1988,16579666.8,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
AUS,Australia,1989,16813834.9,True,,,3.4032,1.0099,Interpolated between Kaggle/World Bank population years
