Week Ending Date,Geographic aggregation,Total Patients Hospitalized with COVID-19,Total Patients Hospitalized with Influenza,Total Patients Hospitalized with RSV,Total COVID-19 Admissions,Total Influenza Admissions,Total RSV Admissions,Percent Inpatient Beds Occupied,Percent Inpatient Beds Occupied by COVID-19 Patients,Percent Inpatient Beds Occupied by Influenza Patients,Percent Inpatient Beds Occupied by RSV Patients,Number Hospitals Reporting COVID-19 Admissions,Number Hospitals Reporting Influenza Admissions,Number Hospitals Reporting RSV Admissions,date,value,hospitalized_patients,is_negative_case_correction,location_code,location,disease,frequency,period_days,metric,metric_label,new_cases_clean,published_smoothed,total_cases,total_deaths,new_deaths,is_negative_death_correction,source_population,source_density_per_km2,source_gdp_per_capita,source,quality_flag,year
2020-08-08,USA,61626.0,2.0,,39049.0,0.0,,68.0,8.0,0.0,,4467.0,46.0,0.0,2020-08-08,39049.0,61626.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,39049.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
2020-08-15,USA,55005.0,0.0,,36643.0,0.0,,68.0,7.000000000000001,0.0,,5036.0,5.0,0.0,2020-08-15,36643.0,55005.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,36643.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
2020-08-22,USA,49704.0,0.0,,36887.0,0.0,,68.0,6.0,0.0,,5149.0,5.0,0.0,2020-08-22,36887.0,49704.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,36887.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
2020-08-29,USA,42551.0,0.0,,35482.0,0.0,,68.0,5.0,0.0,,5191.0,6.0,0.0,2020-08-29,35482.0,42551.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,35482.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
2020-09-05,USA,38284.0,0.0,,32868.0,0.0,,67.0,5.0,0.0,,5256.0,9.0,0.0,2020-09-05,32868.0,38284.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,32868.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
2020-09-12,USA,32133.0,0.0,,29818.0,0.0,,67.0,4.0,0.0,,5277.0,7.0,0.0,2020-09-12,29818.0,32133.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,29818.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
2020-09-19,USA,29351.0,0.0,,27760.0,0.0,,68.0,4.0,0.0,,5271.0,7.0,0.0,2020-09-19,27760.0,29351.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,27760.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
2020-09-26,USA,28925.0,0.0,,27983.0,0.0,,68.0,4.0,0.0,,5294.0,123.0,0.0,2020-09-26,27983.0,28925.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,27983.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
2020-10-03,USA,30929.0,0.0,,31764.0,0.0,,69.0,4.0,0.0,,5309.0,52.0,0.0,2020-10-03,31764.0,30929.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,31764.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
2020-10-10,USA,34011.0,0.0,,37341.0,0.0,,69.0,4.0,0.0,,5332.0,55.0,0.0,2020-10-10,37341.0,34011.0,False,USA,United States,COVID-19 Hospital Admissions,weekly,7,hospital_admissions,每周新增住院入院人数,37341.0,,,,,False,,,,Kaggle Weekly Hospital Respiratory Data and Metrics,ok,2020
