Week Ending Date,Geographic aggregation,Total Patients Hospitalized with COVID-19,Total Patients Hospitalized with Influenza,Total Patients Hospitalized with RSV,Total COVID-19 Admissions,Total Influenza Admissions,Total RSV Admissions,Percent Inpatient Beds Occupied,Percent Inpatient Beds Occupied by COVID-19 Patients,Percent Inpatient Beds Occupied by Influenza Patients,Percent Inpatient Beds Occupied by RSV Patients,Number Hospitals Reporting COVID-19 Admissions,Number Hospitals Reporting Influenza Admissions,Number Hospitals Reporting RSV Admissions,date
2020-08-08,USA,61626.0,2.0,,39049.0,0.0,,68.0,8.0,0.0,,4467.0,46.0,0.0,2020-08-08
2020-08-15,USA,55005.0,0.0,,36643.0,0.0,,68.0,7.000000000000001,0.0,,5036.0,5.0,0.0,2020-08-15
2020-08-22,USA,49704.0,0.0,,36887.0,0.0,,68.0,6.0,0.0,,5149.0,5.0,0.0,2020-08-22
2020-08-29,USA,42551.0,0.0,,35482.0,0.0,,68.0,5.0,0.0,,5191.0,6.0,0.0,2020-08-29
2020-09-05,USA,38284.0,0.0,,32868.0,0.0,,67.0,5.0,0.0,,5256.0,9.0,0.0,2020-09-05
2020-09-12,USA,32133.0,0.0,,29818.0,0.0,,67.0,4.0,0.0,,5277.0,7.0,0.0,2020-09-12
2020-09-19,USA,29351.0,0.0,,27760.0,0.0,,68.0,4.0,0.0,,5271.0,7.0,0.0,2020-09-19
2020-09-26,USA,28925.0,0.0,,27983.0,0.0,,68.0,4.0,0.0,,5294.0,123.0,0.0,2020-09-26
2020-10-03,USA,30929.0,0.0,,31764.0,0.0,,69.0,4.0,0.0,,5309.0,52.0,0.0,2020-10-03
2020-10-10,USA,34011.0,0.0,,37341.0,0.0,,69.0,4.0,0.0,,5332.0,55.0,0.0,2020-10-10
2020-10-17,USA,37703.0,21.0,,40762.0,4.0,,69.0,5.0,0.0,,5344.0,638.0,0.0,2020-10-17
2020-10-24,USA,42315.0,224.0,,45768.0,241.0,,68.0,5.0,0.0,,5349.0,3923.0,0.0,2020-10-24
2020-10-31,USA,48006.0,348.0,,50688.0,472.0,,68.0,6.0,0.0,,5362.0,4429.0,0.0,2020-10-31
2020-11-07,USA,55049.0,437.0,,59185.0,521.0,,70.0,7.000000000000001,0.0,,5352.0,4904.0,0.0,2020-11-07
2020-11-14,USA,68047.0,507.0,,74355.0,653.0,,72.0,9.0,0.0,,5358.0,4927.0,0.0,2020-11-14
2020-11-21,USA,82662.0,559.0,,86622.0,608.0,,72.0,10.0,0.0,,5364.0,4978.0,0.0,2020-11-21
2020-11-28,USA,93230.0,586.0,,91109.0,684.0,,70.0,12.0,0.0,,5366.0,5019.0,0.0,2020-11-28
2020-12-05,USA,104422.0,680.0,,101861.0,660.0,,72.0,13.0,0.0,,5373.0,5037.0,0.0,2020-12-05
2020-12-12,USA,111436.0,683.0,,108120.0,643.0,,73.0,14.000000000000002,0.0,,5376.0,5059.0,0.0,2020-12-12
2020-12-19,USA,119425.0,729.0,,112543.0,768.0,,73.0,15.0,0.0,,5377.0,5259.0,0.0,2020-12-19
2020-12-26,USA,124889.0,800.0,,113139.0,755.0,,70.0,16.0,0.0,,5378.0,5260.0,0.0,2020-12-26
2021-01-02,USA,132491.0,794.0,,120586.0,743.0,,71.0,17.0,0.0,,5382.0,5265.0,0.0,2021-01-02
2021-01-09,USA,139123.0,726.0,,127809.0,606.0,,74.0,18.0,0.0,,5382.0,5265.0,0.0,2021-01-09
2021-01-16,USA,138109.0,644.0,,119458.0,655.0,,74.0,17.0,0.0,,5384.0,5266.0,0.0,2021-01-16
2021-01-23,USA,127054.0,528.0,,105955.0,716.0,,80.86,16.0,0.0,,5383.0,5266.0,0.0,2021-01-23
2021-01-30,USA,111113.0,493.0,,90418.0,555.0,,74.0,14.000000000000002,0.0,,5384.0,5267.0,0.0,2021-01-30
2021-02-06,USA,94543.0,461.0,,77994.0,505.0,,73.0,12.0,0.0,,5386.0,5269.0,0.0,2021-02-06
2021-02-13,USA,78955.0,463.0,,63696.0,463.0,,72.0,10.0,0.0,,5386.0,5269.0,0.0,2021-02-13
2021-02-20,USA,64937.0,444.0,,51382.0,481.0,,71.0,8.0,0.0,,5388.0,5271.0,0.0,2021-02-20
2021-02-27,USA,54289.0,425.0,,46654.0,428.0,,73.0,7.000000000000001,0.0,,5387.0,5270.0,0.0,2021-02-27
2021-03-06,USA,45003.0,385.0,,39256.0,438.0,,71.0,6.0,0.0,,5386.0,5269.0,0.0,2021-03-06
2021-03-13,USA,39772.0,369.0,,37696.0,454.0,,71.0,5.0,0.0,,5387.0,5270.0,0.0,2021-03-13
2021-03-20,USA,37147.0,340.0,,36491.0,377.0,,70.0,5.0,0.0,,5386.0,5269.0,0.0,2021-03-20
2021-03-27,USA,36745.0,339.0,,37993.0,368.0,,71.0,5.0,0.0,,5386.0,5269.0,0.0,2021-03-27
2021-04-03,USA,37768.0,326.0,,39620.0,384.0,,70.0,5.0,0.0,,5385.0,5268.0,0.0,2021-04-03
2021-04-10,USA,39832.0,297.0,,42289.0,348.0,,71.0,5.0,0.0,,5386.0,5269.0,0.0,2021-04-10
2021-04-17,USA,41819.0,292.0,,44059.0,370.0,,72.0,5.0,0.0,,5384.0,5267.0,0.0,2021-04-17
2021-04-24,USA,41914.0,312.0,,41785.0,475.0,,72.0,5.0,0.0,,5383.0,5266.0,0.0,2021-04-24
2021-05-01,USA,38849.0,333.0,,37598.0,451.0,,72.0,5.0,0.0,,5388.0,5271.0,0.0,2021-05-01
2021-05-08,USA,35044.0,308.0,,33314.0,342.0,,70.0,4.0,0.0,,5387.0,5270.0,0.0,2021-05-08
2021-05-15,USA,30541.0,274.0,,28367.0,274.0,,71.0,4.0,0.0,,5380.0,5262.0,0.0,2021-05-15
2021-05-22,USA,26297.0,260.0,,25161.0,294.0,,72.0,3.0,0.0,,5384.0,5266.0,0.0,2021-05-22
2021-05-29,USA,22912.0,243.0,,22611.0,247.0,,72.0,3.0,0.0,,5384.0,5266.0,0.0,2021-05-29
2021-06-05,USA,19302.0,234.0,,18467.0,253.0,,70.0,2.0,0.0,,5383.0,5264.0,0.0,2021-06-05
2021-06-12,USA,16390.0,242.0,,16438.0,231.0,,72.0,2.0,0.0,,5385.0,5145.0,0.0,2021-06-12
2021-06-19,USA,14302.0,217.0,,14744.0,214.0,,72.0,2.0,0.0,,5367.0,4879.0,0.0,2021-06-19
2021-06-26,USA,12878.0,212.0,,13889.0,203.0,,72.0,2.0,0.0,,5387.0,4822.0,0.0,2021-06-26
2021-07-03,USA,13392.0,217.0,,15196.0,222.0,,72.0,2.0,0.0,,5388.0,4813.0,0.0,2021-07-03
2021-07-10,USA,15227.0,231.0,,18554.0,243.0,,71.0,2.0,0.0,,5387.0,4807.0,0.0,2021-07-10
2021-07-17,USA,20178.0,235.0,,25131.0,292.0,,73.0,3.0,0.0,,5385.0,4790.0,0.0,2021-07-17
2021-07-24,USA,28958.0,263.0,,36160.0,264.0,,73.0,4.0,0.0,,5387.0,4779.0,0.0,2021-07-24
2021-07-31,USA,43153.0,284.0,,52828.0,280.0,,74.0,6.0,0.0,,5389.0,4775.0,0.0,2021-07-31
2021-08-07,USA,61094.0,376.0,,70902.0,350.0,,75.0,8.0,0.0,,5390.0,4426.0,0.0,2021-08-07
2021-08-14,USA,80034.0,321.0,,85858.0,290.0,,76.0,11.0,0.0,,5388.0,4406.0,0.0,2021-08-14
2021-08-21,USA,94051.0,293.0,,92946.0,280.0,,76.0,13.0,0.0,,5392.0,4415.0,0.0,2021-08-21
2021-08-28,USA,102483.0,288.0,,94596.0,262.0,,77.0,14.000000000000002,0.0,,5391.0,4397.0,0.0,2021-08-28
2021-09-04,USA,104614.0,331.0,,93241.0,282.0,,77.0,14.000000000000002,0.0,,5392.0,4396.0,0.0,2021-09-04
2021-09-11,USA,102729.0,309.0,,88162.0,247.0,,77.0,14.000000000000002,0.0,,5391.0,4377.0,0.0,2021-09-11
2021-09-18,USA,95896.0,285.0,,79169.0,261.0,,78.0,13.0,0.0,,5394.0,4362.0,0.0,2021-09-18
2021-09-25,USA,85889.0,272.0,,67740.0,234.0,,77.0,12.0,0.0,,5393.0,4368.0,0.0,2021-09-25
2021-10-02,USA,74702.0,253.0,,58076.0,253.0,,76.0,10.0,0.0,,5395.0,4391.0,0.0,2021-10-02
2021-10-09,USA,64815.0,276.0,,51744.0,341.0,,76.0,9.0,0.0,,5396.0,4379.0,0.0,2021-10-09
2021-10-16,USA,56295.0,260.0,,45978.0,266.0,,76.0,8.0,0.0,,5394.0,4307.0,0.0,2021-10-16
2021-10-23,USA,50380.0,269.0,,41502.0,281.0,,76.0,7.000000000000001,0.0,,5394.0,4317.0,0.0,2021-10-23
2021-10-30,USA,45532.0,258.0,,38325.0,265.0,,76.0,6.0,0.0,,5394.0,4321.0,0.0,2021-10-30
