location_code,year,value,who_estimate_low,who_estimate_high,who_indicator_name,hiv_prevalence_adults_percent,hiv_prevalence_adults_percent_low,hiv_prevalence_adults_percent_high,date,location,disease,frequency,period_days,metric,metric_label,new_cases_clean,published_smoothed,total_cases,total_deaths,new_deaths,is_negative_case_correction,is_negative_death_correction,source_population,source_density_per_km2,source_gdp_per_capita,source,quality_flag,who_indicator_code
AUS,2000,760.0,730.0,790.0,Number of new HIV infections,0.1,0.1,0.1,2000-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,760.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2001,810.0,780.0,840.0,Number of new HIV infections,0.1,0.1,0.1,2001-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,810.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2002,850.0,820.0,880.0,Number of new HIV infections,0.1,0.1,0.1,2002-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,850.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2003,890.0,860.0,920.0,Number of new HIV infections,0.1,0.1,0.1,2003-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,890.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2004,930.0,900.0,960.0,Number of new HIV infections,0.1,0.1,0.1,2004-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,930.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2005,950.0,920.0,990.0,Number of new HIV infections,0.1,0.1,0.1,2005-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,950.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2006,980.0,940.0,1000.0,Number of new HIV infections,0.1,0.1,0.1,2006-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,980.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2007,990.0,960.0,1000.0,Number of new HIV infections,0.1,0.1,0.1,2007-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,990.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2008,1000.0,970.0,1000.0,Number of new HIV infections,0.1,0.1,0.1,2008-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,1000.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2009,1000.0,980.0,1100.0,Number of new HIV infections,0.1,0.1,0.1,2009-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,1000.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2010,1000.0,980.0,1100.0,Number of new HIV infections,0.1,0.1,0.1,2010-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,1000.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2011,1000.0,980.0,1000.0,Number of new HIV infections,0.1,0.1,0.1,2011-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,1000.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
AUS,2012,1000.0,970.0,1000.0,Number of new HIV infections,0.1,0.1,0.1,2012-12-31,Australia,HIV/AIDS,annual,365,new_infections,年度新增 HIV 感染数,1000.0,,,,,False,False,,,,WHO GHO HIV_0000000026,who_estimate_with_interval,HIV_0000000026
