location_code,year,who_tb_deaths_rate_per_100k,who_tb_deaths_rate_per_100k_low,who_tb_deaths_rate_per_100k_high,who_tb_treatment_coverage_percent,who_tb_treatment_coverage_percent_low,who_tb_treatment_coverage_percent_high,who_tb_new_relapse_cases,who_tb_new_relapse_cases_low,who_tb_new_relapse_cases_high,who_tb_deaths_excluding_hiv_count,who_tb_deaths_excluding_hiv_count_low,who_tb_deaths_excluding_hiv_count_high,who_tb_incident_hiv_positive_count,who_tb_incident_hiv_positive_count_low,who_tb_incident_hiv_positive_count_high,who_tb_incident_hiv_positive_per_100k,who_tb_incident_hiv_positive_per_100k_low,who_tb_incident_hiv_positive_per_100k_high,who_tb_treatment_success_previously_treated_percent,who_tb_treatment_success_previously_treated_percent_low,who_tb_treatment_success_previously_treated_percent_high,who_tb_mdr_treatment_success_percent,who_tb_mdr_treatment_success_percent_low,who_tb_mdr_treatment_success_percent_high,who_tb_smear_positive_treatment_success_percent,who_tb_smear_positive_treatment_success_percent_low,who_tb_smear_positive_treatment_success_percent_high,who_tb_hiv_status_known_percent,who_tb_hiv_status_known_percent_low,who_tb_hiv_status_known_percent_high,who_tb_hiv_positive_percent,who_tb_hiv_positive_percent_low,who_tb_hiv_positive_percent_high,who_tb_notified_cases_count,who_tb_notified_cases_count_low,who_tb_notified_cases_count_high,who_tb_hiv_positive_on_art_percent,who_tb_hiv_positive_on_art_percent_low,who_tb_hiv_positive_on_art_percent_high,who_tb_smear_positive_case_detection_percent,who_tb_smear_positive_case_detection_percent_low,who_tb_smear_positive_case_detection_percent_high,who_tb_mdr_rr_incident_count,who_tb_mdr_rr_incident_count_low,who_tb_mdr_rr_incident_count_high,who_tb_mdr_treatment_started_count,who_tb_mdr_treatment_started_count_low,who_tb_mdr_treatment_started_count_high,who_tb_new_cases_rr_mdr_tested_percent,who_tb_new_cases_rr_mdr_tested_percent_low,who_tb_new_cases_rr_mdr_tested_percent_high,who_tb_previously_treated_rr_mdr_tested_percent,who_tb_previously_treated_rr_mdr_tested_percent_low,who_tb_previously_treated_rr_mdr_tested_percent_high,date,location,source
AUS,1996,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
AUS,1997,,,,,,,,,,,,,,,,,,,71.0,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
AUS,1998,,,,,,,,,,,,,,,,,,,81.0,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
AUS,1999,,,,,,,,,,,,,,,,,,,83.0,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
AUS,2000,0.28,0.28,0.28,80.0,66.0,98.0,1043.0,,,53.0,53.0,53.0,120.0,44.0,220.0,0.56,0.22,1.1,82.0,,,,,,72.0,,,,,,,,,,,,,,,87.0,77.0,100.0,,,,,,,,,,,,,2000-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
AUS,2001,0.44,0.43,0.44,80.0,67.0,99.0,980.0,,,84.0,84.0,85.0,100.0,38.0,190.0,0.48,0.18,0.92,50.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
AUS,2002,0.33,0.33,0.34,81.0,67.0,99.0,1013.0,,,66.0,65.0,66.0,94.0,35.0,180.0,0.45,0.17,0.86,71.0,,,40.0,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
AUS,2003,0.26,0.26,0.26,81.0,67.0,99.0,949.0,,,52.0,52.0,52.0,78.0,29.0,150.0,0.37,0.14,0.71,86.0,,,67.0,,,80.0,,,20.0,,,6.3,,,949.0,,,100.0,,,,,,,,,,,,,,,,,,2003-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
AUS,2004,0.31,0.31,0.31,81.0,67.0,100.0,1071.0,,,62.0,62.0,63.0,77.0,28.0,150.0,0.36,0.14,0.7,,,,50.0,,,,,,20.0,,,11.0,,,1082.0,,,,,,,,,,,,,,,,,,,,,2004-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
AUS,2005,0.3,0.3,0.3,81.0,68.0,100.0,1046.0,,,61.0,61.0,62.0,63.0,23.0,120.0,0.29,0.11,0.56,72.0,,,,,,80.0,,,42.0,,,4.9,,,1073.0,,,,,,,,,,,,,,,,,,,,,2005-12-31,Australia,WHO GHO tuberculosis auxiliary indicators
